org.thoughtcrime.securesms#30006:	  Can't use it with pushbullet. 
org.thoughtcrime.securesms#30239:	  The app is lovely for the most part. The only thing I seem to have trouble with is sending pictures through mms. The whole app has to be restarted before sending anymore texts. Just a minor annoyance for an otherwise solid app. Edit: the messages not sending now can't be fixed by just restarting the app. This is absolutely not working at all for me. switched back to regular messaging app until i can find one that does not fail to send texts. 
org.thoughtcrime.securesms#30243:	  Easy to switch. Convenient reply pop out. Had some issues with MMS when on WiFi but their forums helped new fix it. Overall my favorite messaging app to date. 
org.thoughtcrime.securesms#30247:	  Lat update sucks!!! I have been using signal for a good while now and loved it...and all of the sudden delays in messaging please fix it or good bye signal 
org.thoughtcrime.securesms#30254:	  5 stars if you can make it look as nice as Chomp. Issue: wife sent me message on hangouts because signal stopped working. Now all our texts are reversed on her display. My text are as if they're from her and vice versa. On MY screen, my last text I sent is shown as if SHE sent it to ME. Other than that, mine works fine. 
org.thoughtcrime.securesms#30258:	  Needs alternative method to link devices, for when the default camera does not work 
org.thoughtcrime.securesms#30265:	  i really wanted to like this app. the customizability is great. security also. unfortunately, it sometimes randomly decides to send one message a dozen times in the space of a few seconds, blowing up your friends' phones with one message repeated 18 times. it's done this to me 3 times. only fix was to delete and reinstall. I'm done; this problem is worse than Samsung Messenger's issues. ETA: that was last year; it appears to not do that anymore. However, the timestamp is irritatingly imprecise, saying "ten mintes ago" (and often remaining inaccurate for hours) instead of the actual time. what is this, Facebook? it's a terrible design. also, the new giant "one unread message" WHILE YOU ARE LOOKING AT THE MESSAGE is one of the most annoying "features" I've ever seen. please make it possible to turn this off! it's in the way, inaccurate, and unnecessary. 
org.thoughtcrime.securesms#30266:	  Thanks for getting back to me. The issue was fixed due to the way the phone number was formatted. My one question, is this really private so no one can access my messages....Google, NSA, ect ? 
org.thoughtcrime.securesms#30268:	  MMS on Project Fi; looking forward to a fix 
org.thoughtcrime.securesms#30269:	  Really wanted to use this. But it has a known, persistent bug that blocks downloading MMS and pics while on wifi on some phones. Tried all fixes from website and GitHub. Good app if it works for your device. 
org.thoughtcrime.securesms#30289:	  App fails to notify non delivery of messages to users that have deinstalled Signal. 
org.thoughtcrime.securesms#30299:	  Works as described, I haven't had any problems with the app. 
org.thoughtcrime.securesms#30303:	  Does as described, however I am also experiencing lengthy delays between 2 devices using signal exchanging messages and calls, contacts using standard messengers are getting through in normal time. I understand minor delay, but 2 hours between messages make this not useful 
org.thoughtcrime.securesms#30306:	  This app is great between signal users. Standard SMS functionality is good too. Have not used the voice much but seems to work decently well. Sending MMS to non signal users I experience done delay but nothing unmanageable. Just need to get all my contacts using signal haha 
org.thoughtcrime.securesms#30310:	  Currently having issues with sending and receiving media. 
org.thoughtcrime.securesms#30316:	  The app worked fine before the update, now I can't send pictures. I'll give 5 stars when the problem is fixed 
org.thoughtcrime.securesms#30321:	  It's simple to setup very quick. I wish it didn't use iOS emojis though, and the setting to disable them also disables my enter key making it like Google hangouts, which isn't what I want. Also, TunnelBear VPN will interfere with sending messages. 
org.thoughtcrime.securesms#30322:	  Good app for texting but frequently fails at sending photos. 
org.thoughtcrime.securesms#30340:	  It does not seem to be a common problem, but I struggle to send and receive messages reliably. Sometimes they get lost along the way, sometimes I get notified with great delays. 
org.thoughtcrime.securesms#30349:	  I can't send/receive picture messages. Always an error when sending and never downloads when receiving 
org.thoughtcrime.securesms#30361:	  Keyboard is all screwed up & other ppl I've talked to have the same problem, I hafta hit letters in words several times before they appear in the message, when I hold down the B to get a comma of the J to get the & sign it rarely works. The space bar sometimes works. This is a major issue that needs to be fixed & I can't find anywhere to text tech support or to report a problem 
org.thoughtcrime.securesms#30364:	  The app is great for secure messaging with a desktop client. However, there's a bug on my Pixel where anytime I swipe Signal from my recents, it closes the recents panel entirely, even if other apps are in the recents. 
org.thoughtcrime.securesms#30397:	  Amazing open source app for security conscious people and those who work on sensitive issues. Highly recommended for journalists, human rights defenders, and marginalized groups. 
org.thoughtcrime.securesms#30400:	  Great app overall but it doesn't work when I write offline and then connect. Signal only tries to send the message for a couple seconds before saying it couldn't send. I always use a VPN, which takes a few seconds to connect so I always have to resend every message. A longer timeout time or if it periodically tried again would fix this. 
org.thoughtcrime.securesms#30403:	  I love this app for the security and privacy it gives. I have faced an issue whenever I try to listen a voice messenge it gives "Error Playing Audio!" but my friend doesn't have such problem. I guess it's because he is using Android 5.0 and I'm 7.1.1 ? 
org.thoughtcrime.securesms#30406:	  Security first make this a great app. Sadly, one can't register for it on a PC, tablet, Chromebook or any device that doesn't have a valid SIM card and a phone number, which means you'd also have to be paying a monthly fee to a greedy mobile provider. 
org.thoughtcrime.securesms#30408:	  Only problem is all parties need to use it for encryption to matter however it integrates flawlessly over the stock messaging app so why not use it? 
org.thoughtcrime.securesms#30409:	  Clean, simple, doesn't get in the way. Exactly how it should be 
org.thoughtcrime.securesms#30410:	  This would be much more useful if it didn't truncate half of my longer incoming text messages. 
org.thoughtcrime.securesms#30417:	  It's a good app, only issue is I can't figure out how to actually videocall people, even with the beta enabled. 
org.thoughtcrime.securesms#30418:	  It always crashes especially during calls and it doesn't work well with messaging through the notification panel. Almost never works. 
org.thoughtcrime.securesms#30420:	  Still waiting on MMS backup capability and dual-SIM support. And now I'm getting a "bad encrypted message" error from another Signal user. 
org.thoughtcrime.securesms#30445:	  Sometimes have problems with calls, with clarity. Neither person can understand what the other is saying. 
org.thoughtcrime.securesms#30448:	  It would be great if MMS images didn't fail so often, if I could send messages to multiple recipients, and if the new message indicator on the cool would go away when I have no new messages. 
org.thoughtcrime.securesms#30451:	  NOT EASILY COMPATIBLE WITH GOOGLE VOICE. First time authentication should have the option to manually enter code and the option to call instead of text right from the get go instead of after failure 
org.thoughtcrime.securesms#30456:	  "Error downloading mms..." Never had this issue with Textra. 
org.thoughtcrime.securesms#30465:	  Godsend for Android users who don't get a lot of these privacy and call features like message and call blocking. Also csn shut off message preview in notifications. Another surprisingly hard feature to find for Android users. 
org.thoughtcrime.securesms#30470:	  The only 2 things I wish it had built in was to make custom vibrations for notifications and allow repeating until screen on and not just a set number that could be reached and time out without receiving notification. I use a third party app to configure a never ending, custom vibrating notification.... Average users would struggle setting up and sometimes need root. Thanks for the app, the Mic option to hold and send audio clips helps me ALL day being busy with kids and work!!! The beta video chat has not failed me yet and use it everyday on galaxy note 3 and s7 edge! RUN IT 
org.thoughtcrime.securesms#30471:	  I find it a great concept. However, the app fails to notify me on new incoming messages. This happens usually after I have not used the app for a short time. As if it shuts down by itself. So, I have to manually run the app periodically to look for new messages - which is impractical and renders the app not usable. 
org.thoughtcrime.securesms#30485:	  The gold standard for private, secure, transparent, and independent IM and phone calls. Make Signal your default messenger app and recommend it to all your friends. We should care more about our privacy and a free society in general. To the developers: keep up the good job and don't get lazy. There is some fierce competition out there. Update 16/11/07: New features such as GIFY support are amazing. 
org.thoughtcrime.securesms#30491:	  Unfortunately I'm not able to send videos or GIFs using Signal, no idea why. Does anyone have a fix? I have AT&T, Samsung Galaxy s6. I can receive them just fine. 
org.thoughtcrime.securesms#30512:	  This app works better than my own messaging app! So far haven't had any problems with it. Well except that I'm not quite sure how to make it so other people have to have a lock on their app and enter a password so you know no one else can get to your messages. Or if you can even do that. And I want to know how I can be sure this is actually secure. Lol I don't even know how you would check that. Anyway, so far I really like it! 
org.thoughtcrime.securesms#30527:	  Problems downloading MMS---that being said, the app is classy & easy to use. Great job. 
org.thoughtcrime.securesms#30535:	  Video calling and calling feature is not working properly? 
org.thoughtcrime.securesms#30540:	  First, I love this app!!! Here just a small bug report: the Gif option only works when connected to wifi. Doesn't work with 4G. Would be cool to have that option too (got a mobile flatrate). 
org.thoughtcrime.securesms#30581:	  Unusable. Messages sent to other Android Signal or iOS Whisper users never arrive, unencrypted messages take 4-12hrs to arrive when sent from the app. Unencrypted messages sent to me arrive quickly, though. Tried extensive troubleshooting, but most recommendations were not applicable. The rest didn't work. Tried this on multiple occasions with no success. 
org.thoughtcrime.securesms#30605:	  The phone function doesn't work on my AP, but other than that it's fantastic. I really like it. 
org.thoughtcrime.securesms#30633:	  Recently, Signal fails to deliver messages on time. Sometimes, it is necessary to open the application to receive new messages, and I find it something really annoying in an app such this. I really want to use it, but this problem undermines its usability. 
org.thoughtcrime.securesms#30639:	  Some bugs. When I go to close the app it will push me back to the home screen immediately. Sometimes the app will freeze and gifs can be really slow to load and use. 
org.thoughtcrime.securesms#30640:	  I don't get any notification until and unless I open the contact on my app. Plz resolve the issue 
org.thoughtcrime.securesms#30647:	  DO NOT USE! Went haywire when I sent an sms with poor reception, sending it hundreds of times before I could shut my phone down to stop it. Manager thought this was intentional harassment and fired me! And it spammed through my carefully saved $150 credit! Bloody madness. 
org.thoughtcrime.securesms#30660:	  Loved this app and it's functionality. However need one specific improvement. While texting via Google now or Google assistant the text I have sent don't show up in application. Fix that and I will give 6 star.. And also add in message search function. 
org.thoughtcrime.securesms#30679:	  Really great app but I seem to have an issue I cannot solve myself. Not sure though if that's a Signal issue or a Nougat "feature". When I need to send special SMS to premium number (to subscribe or to pay for some service) I don't seem to be able to remove country code (+48) at the begining of the number and those numbers will not work that way... the have to be used without the country code (eg. 70XX). Is there a way to have it fixed inside the app itself? 
org.thoughtcrime.securesms#30687:	  Bug: following a secure call, subsequent calls will show only a black screen and do not dial or negotiate. The app must be force quit to make another call, please address. Also, photos are still too compressed. Thanks for your hard work. Privacy is freedom. 
org.thoughtcrime.securesms#30715:	  I would like to use it but it crashes my phone's U.I...any solutions? 
org.thoughtcrime.securesms#30724:	  There's issues with delivery of texts to those users who have the Signal app installed, it is delayed to up to 6 hours. 
org.thoughtcrime.securesms#30727:	  Great secure! Can you fix signal don't show notification when having message? 
org.thoughtcrime.securesms#30735:	  Update: it has serious lag. People don't get my messages, i don't get theirs, messages sent and received only once but show up multiple times. With a heavy heart, i have to uninstall. __________________ I get some messages multiple times, and my contacts report receiving multiples sometimes. Tried uninstalling/reinstalling, but that didn't help 
org.thoughtcrime.securesms#30739:	  I've gone from hating this app to appreciating is functionality for privacy. I don't get excited about it but it does the job. 
org.thoughtcrime.securesms#30747:	  Nice app. Works fine. Haven't run into any problems. Keep up the good work! 
org.thoughtcrime.securesms#30754:	  It is good to have a trusted and trustworthy channel of communications in this age of pervasive surveillance, not because we have something to hide, but because we have the right to privacy 
org.thoughtcrime.securesms#30759:	  It Uses+Obtains Device & ALL App's PRIVATE HISTORY (WebSite/URL LIST) & ALL SENSITIVE LOG Data & Precise GPS Location, Full Contact-List, Calendar Events-List !!! etc Which R VIOLATION Of People's Privacy-Rights & other Rights, AVOID THIS APP, OR Request Developers To Remove Those Features, OR Tell them to Release "Light" Edition w/o Excessive & UnNecessary Data Accesses, OR release a SEPARATE Signal-PLUGIN App which can access those Permission & this app connecting w/that Plugin via encrypted API. Users can manually copy-paste a contact-info if they want to when needed, so this app must not access user's Full Contacts-List. Even Law-Enforcement need Court-Order For Obtain Such Data ! it connects with External 3rdParty Servers (Amazon Cloud) ! it auto-restarts even after manually closing it from Ggl Apps-List !! When Developer/Group Wil Really Respect User's PRIVACY-RIGHTs, & Fix Those, Then We Wil Updat This Review Accordingly. Thanx. 
org.thoughtcrime.securesms#30761:	  Reliability and usability is more important than security for average users. Encrypted calls and texts use data, which is fine, but this means they don't send when data is disabled or out-of-range. It's really annoying to try and get to the normal call/text mode when the Signal calls fail due to Internet issues. Please, if a message doesn't send over data after a set timeout, or a Signal call fails, Signal should prompt to ask to try again in normal non-encrypted mode. It's also more tedious to call people who don't use Signal, as the call doesn't begin automatically after pressing call if the other person is not on Signal, it just prefills their number. This difference in behaviour on the same UI is frustrating. A different colour for each person is jarring: I would prefer one colour for secure and one colour for insecure communications. There is also a bug where a draft text may be lost if Signal is minimised then a message comes through from the intended recipient and the user clicks on that notification - the draft is gone. 
org.thoughtcrime.securesms#30762:	  Take the power back! Thank you developers! I got this for the messaging, so I can't comment on the functions of the phone. Once or twice SMS came in late from an iPhone (I have Android), but no other problems. Love it! 
org.thoughtcrime.securesms#30769:	  I've been trying to get my phone calls not to drop when my screen blacks out but to no avail. Contacted Signal but no one knows how to fix the issue. 
org.thoughtcrime.securesms#30783:	  It seems like the app will only work if you have wifi on??? Anyone having that issue? 
org.thoughtcrime.securesms#30794:	  The only issue is convincing your contacts to use the app, otherwise this is awesome. 
org.thoughtcrime.securesms#30809:	  Occasionally doesn't show an image or emoji but usually fixes itself when I exit and reopen the app 
org.thoughtcrime.securesms#30810:	  I love the app. It's even set to my default SMS app. The only concern I have is that when I try to send a message to someone who HAD Signal before but deleted it, they don't get the message on their phone. It seems it sends the message to their app, but since they don't have it anymore, it gets lost. There should be a way to send messages to people that had Signal but don't anymore. It's really annoying, and I have to talk to some people on different apps because of this "glitch". If you could fix this, that would be fantastic!! Thanks  
org.thoughtcrime.securesms#30835:	  The app is great and its now my default messaging app. The only issue I have is that when I do a search in the app, it only brings up contact names instead of searching inside of individual messages. Otherwise great and easy to use! 
org.thoughtcrime.securesms#30837:	  After last update app crashes immediately after start. Please fix it. 
org.thoughtcrime.securesms#30838:	  Still trying to figure out exactly how this thing works with sms - it seems to default to data use but sms messages aren't getting through to recipients for some reason. Aside from this issue, I love this app - and it really might be just my lack of time to figure out the learning curve. 
org.thoughtcrime.securesms#30847:	  The best messaging app for those concerned with privacy. I especially like the timed automatic msg delete feature, it helps keep old msgs from taking up space and ensures sensitive msgs get deleted even if I forget. Signal has end to end encryption, is open source, and does not save the contents of msgs on their servers. This is evidenced by a recent court case where Signal was supeanoed (spelling?) to provide information but all they could provide was the time msgs were sent, even those that program the app did/do not have access to msg content. Support your right to privacy and encourage all your friends to switch to Signal! 
org.thoughtcrime.securesms#30848:	  Conceptually good but I was disappointed to find that the "desktop" app is actually a chome extension a bit sad for an app that pushes privacy to require Google's browser in order to be installed. I'll stick with something else until they fix that. 
org.thoughtcrime.securesms#30851:	  I don't get notifications till i open the app 
org.thoughtcrime.securesms#30860:	  Works faster than standard message app that came with phone. I haven't used encryption yet, but like the option. 
org.thoughtcrime.securesms#30863:	  Great app, stopped using cuz the MMS didn't work. 
org.thoughtcrime.securesms#30866:	  I've been through many other messanger apps and this one hits everything I need: desktop client, audio messages, and group messages and a few other tidbits. The encryption is a nice bonus. Never had hiccups or issues with it. 
org.thoughtcrime.securesms#30870:	  When a contact uses signal and for some reason uninstalls the app there is no way to know it and he/she never takes your messages. Thats a very big important problem. Needs immediate fix. Other than that its the best app for communicating securely. 
org.thoughtcrime.securesms#30875:	  Now it takes hours, minutes or days for texts send or receive...(update)...Much worse than before...It flat out doesn't work for MMS at all...Simple text works but with much delay. 
org.thoughtcrime.securesms#30882:	  Overall, a good app, not sure if I'd recommend it to everyone, as it has difficulties with group MMSes sometimes. It also has problems with with notifications so I have to check my texts with the same habits as email. 
org.thoughtcrime.securesms#30885:	  Calling has been an issue but messaging is great 
org.thoughtcrime.securesms#30895:	  Video calling feature (Beta) sometimes not working properly on Samsung Galaxy J5 and J7 (both 2016) 
org.thoughtcrime.securesms#30899:	  A "message read" option would be great, make it opt in for both people to avoid privacy problems. 
org.thoughtcrime.securesms#30903:	  Completely replace SMS, so you can use if you don't use the other greater features, with all the benefits. Nice 
org.thoughtcrime.securesms#30908:	  Some random texts sent to my google voice number were not delivered. Since there was no error message, people thought that I just chose not to answer. I had to switch back to my default messaging app until this is fixed. Support was a let-down, not happy. 
org.thoughtcrime.securesms#30921:	  It's easy to use, secure and open. The only problem I had was actually related to Google's Push Service, and Open Whisper Systems replied almost immediately. Could use a complete encrypted backup option, but that'd be a cherry on top of a perfect cake. 
org.thoughtcrime.securesms#30944:	  This app replaced textra for me. I could not find a app that had a native quick reply button ON THE NOTIFICATION until now. This is a solid sms client and it looks great too. This is honestly a brilliant experience. 
org.thoughtcrime.securesms#30961:	  Doesn't work, tried text verification, I got the text but app didn't do anything. Then tried phone verification and it kept incorrectly saying no network and then too many attempts. Immediately uninstalled. 
org.thoughtcrime.securesms#30978:	  Amazing app. Just one tiny thing. Please make video compression possible. I can't upload 150MBs each time I upload a ten second video. Thanx And also add replies. 
org.thoughtcrime.securesms#30984:	  Most recent update seems to have broken the calling feature. It does the sonar sound for a while and then the app crashes. 
org.thoughtcrime.securesms#30994:	  Works fine for a while but then it fails to send image attachments. It may be a problem with my phone/carrier. I'll give it five stars if it works right on my next phone. Everything should be encrypted. 
org.thoughtcrime.securesms#30999:	  Easy to install. Easy to use. Installed on all the devices in my family, everybody uses without issues! 
org.thoughtcrime.securesms#31003:	  The app used to work very well on my S6, but now will not close in 1 swipe. ALWAYS takes 2, and I know others have the same issue. 
org.thoughtcrime.securesms#31016:	   Thanks for removing the bugs. I really love this app because of the security features it provides. Keep up the great job! 
org.thoughtcrime.securesms#31024:	  Very solid app. I've had a few minor issues using my wifi only texting, but not enough to give less than 5 stars. 
org.thoughtcrime.securesms#31029:	  I like signal. My only issue is that there does not appear to back a way to clear all chat messages. 
org.thoughtcrime.securesms#31057:	  Problems downloading images received. Other than that, works great! 
org.thoughtcrime.securesms#31059:	  I love the security of signal. But if you do more then occasionally text seek others. I have used it forever, back up texts constantly fails (it also doesn't back up pic messages) & the biggest flaw is signal condenses your pictures down to 90s Web cam quality when you send and receive them. I have contacted support several times over this & they just ignore me. I can't even make out faces in pictures people send me. Saving the photo does nothing to improve quality. Shame it would be awesome otherwise 
org.thoughtcrime.securesms#31064:	  Great and easy to use encryption. One problem -- if you switch phones your old contacts may not get push notifications when you send them messages because you have an unverified key. 
org.thoughtcrime.securesms#31069:	  Since the update, I have had a constant "1" notification showing on the signal icon, whether or not I have a message. Please fix. Otherwise a great app. 
org.thoughtcrime.securesms#31073:	  I love this app. I love knowing my messages are private. There are some issues with messages repeating over and over sometimes. 
org.thoughtcrime.securesms#31119:	  Easy-to-use, secure messaging app. Calls can sometimes be slightly glitchy at first, but never had problems with the call. Highly recommended 
org.thoughtcrime.securesms#31130:	  I can't imagine why I'd use this over Telegram. Has anyone ever had a security issue with Telegram? Signal is great but just not as beautiful as Telegram and lacks some of the design and features. 
org.thoughtcrime.securesms#31162:	  clean and bug free app. Needs more upfront features such as swipe to delete message thread like other similar messaging apps. 
org.thoughtcrime.securesms#31163:	  i tried to set up my number but always not registered always written server not registered 
org.thoughtcrime.securesms#31164:	  Sometimes texts don't work, incoming and outgoing. sent images are very poor quality. 
org.thoughtcrime.securesms#31174:	  Great in theory, but design choices cause problems. The hilariously small MMS size limit needs to be increased. It's 2017 already... 
org.thoughtcrime.securesms#31188:	  I don't have the tech knowledge to comment on its security capabilities, but in terms of user experience it's been pretty good. I like how you can set colours for the different people in your contacts list. Possible improvements: - Would prefer if those colours weren't the background to the text, and/or if you could set custom colours using CSS; in practice some of the preset colours aren't useful, because of insufficient contrast with the text, and even some of the usable ones are a bit glaringly bright for a background. - Had one experience where I'd run out of credit and it wouldn't send the message but didn't tell me why, and it took me a while to figure out. A more informative error message would've been useful at that point. I'm not sure if the phone gives Signal access to my phone credit level, so maybe it couldn't've actually told me why, but it could have had a "more info" link with "here's some things to check", and from memory I don't think it did. All in all though, thanks for making this useful app. 
org.thoughtcrime.securesms#31203:	  I dwnlded the app on my Chromebook 2 and synced my phone and laptop but it's failing to import anything on to my laptop. 
org.thoughtcrime.securesms#31206:	  Absolutely fantastic. Zero complaints or problems 
org.thoughtcrime.securesms#31231:	  It is a solid app. Two issues: it is a little cumbersome to set up a group text, but more importantly the indexing, when looking for a contact, is INCREDIBLY SLOW and sometimes doesn't even provide search results. This needs to be fixed. 
org.thoughtcrime.securesms#31237:	  It's very good, but unfortunately it is not work in Egypt ! Please make it work in Egypt, we want to save our conversations .. 
org.thoughtcrime.securesms#31244:	  doesn't work in Iran. it has no deactivate possibility. 
org.thoughtcrime.securesms#31287:	  Since joining the signal family,I've not had any issue with sending secure Information to business colleagues or family and friends.It is bar none the best messaging app out there!!!! 
org.thoughtcrime.securesms#31288:	  Great but a little buggy. I've replaced my sms app with signal but I've had lots of issues with the unread message badge on the app. 
org.thoughtcrime.securesms#31289:	  Great app. Still has a bit of an issue with group chat. No video yet, but it's said to be on the way. 
org.thoughtcrime.securesms#31304:	  Will not let me download, not even an option. Had it on old phone awhile ago. Has my correct email. What's up? Help, please. Just became beta video tester. Fix & I'll change to 5 stars toute-suite. Thank you 
org.thoughtcrime.securesms#31307:	  Very slow and the instant incoming message notification fails a lot 
org.thoughtcrime.securesms#31310:	  Had to stop using this app. Messages would come through in batches hours after they were sent. Sometimes sending messages failed to send at all with no feedback as to why. Calling didn't always work. I love the interface but it was completely unreliable as a way to send and receive text messages. 
org.thoughtcrime.securesms#31325:	  Great way to securely send quick messages. Has an intuitive UI with no serious problems. 
org.thoughtcrime.securesms#31331:	  This is by far the best messaging client I've tried so far! But it has a few bugs. 
org.thoughtcrime.securesms#31353:	  This app doesn't work well on wifi, and struggles when iPhone users send me messages, even when they have signal themselves. I like the interface, but media messages are limited, and I don't get many texts until 40 minutes after they were sent if I'm on wifi. 
org.thoughtcrime.securesms#31354:	  I have not used everything yet but so far do good. 
org.thoughtcrime.securesms#31355:	  Great way to not get thrown in an upcoming gulag for expressing ideas contrary to the Administration's Truth as it is understood on a particular day 
org.thoughtcrime.securesms#31357:	  Don't know why, but Signal shows me some contacts multiple times. Tried to clean and remove duplicate contacts but it didn't help. Other than that I didn't have any problems, the banner to invite people is slightly annoying though. 
org.thoughtcrime.securesms#31358:	  It crashes at random times but overall it's ok 
org.thoughtcrime.securesms#31364:	  Allows for linked desktop computer clients. Can't link other devices though. And SMS don't sync across clients so it gets a little confusing 
org.thoughtcrime.securesms#31366:	  Having issues on the Samsung mobile to show the number of ongoing conversations 
org.thoughtcrime.securesms#31384:	  ... But the MMS image quality sucks. Fix please. 
org.thoughtcrime.securesms#31407:	  So a new problem has arisen, though I'm not really sure it's Signal. Something's cutting off texts from iPhone users that are very long. I guess I'll test and see. Update: Samsungs default messenger didn't cut off when I had the person copy paste the same message. Might be Signal after all, I guess. 
org.thoughtcrime.securesms#31430:	  It has some issues like listening to the audios and media your contacts send you (you hear them loud voice instead of just for yourself). The videos don't play smoothly. I hope you can fix it soon. Nevertheless what I have just said I think this app it's one of the best if you want to preserve your anonymity. 
org.thoughtcrime.securesms#31436:	  As of this version the app is barely usable because of message rendering bugs. It keeps getting worse instead of better. 
org.thoughtcrime.securesms#31443:	  The best and most secure chat app. Could you try and fix the double messeges in groupchats? It's been a serious problem and a reason to stop using signal for my friends. 
org.thoughtcrime.securesms#31447:	  I like that it's open source and has good encryption only downside is that it won't work if you don't have data so I mostly stuck with the default SMS App 
org.thoughtcrime.securesms#31449:	  Secure but not stable, less features than wire or telegram. Crash too often. 
org.thoughtcrime.securesms#31451:	  Crashing, and problems with SMS. Failure to send, and sending a reply hundreds of times. 
org.thoughtcrime.securesms#31453:	  Does what it says, haven't had any issues 
org.thoughtcrime.securesms#31455:	  Good for texts but when I used it to call someone the sound wuality was poor and had lots of dropped calls. I didn't get it for calling anyway so not a big deal. 
org.thoughtcrime.securesms#31461:	  Excellent personal info security! Have some intermitent blocking issues sending from outside US to US contacts also using Signal, 
org.thoughtcrime.securesms#31468:	  Besides it telling me every new contact that downloads it I like the app. Also get rid of the so and so just joined signal message them. But then it reminds you over and over again if you don't open a chat window kind of annoying. 
