com.battlelancer.seriesguide#90029:	  Had to reinstall but cant connect to trakt and now i camt access anything pls fix 
com.battlelancer.seriesguide#90547:	   Love this app. Only one that isn't just plain stupid. Lately it won't stop syncing, which is just a little bit annoying. Could be me I guess, but this is a brand new phone, never had the issue on the old and busted. 
com.battlelancer.seriesguide#90557:	   Sometimes the show is shown to be added to watchlist but is not displayed. Kindly solve this issue for galaxy note 2 
com.battlelancer.seriesguide#90582:	  Doesn't sync with trakt.tv anymore :-( 
com.battlelancer.seriesguide#90587:	   When i am trying to add a new show to the show list it doesn't work 
com.battlelancer.seriesguide#90617:	   Thoroughly enjoying this app. Although I haven't used all of the features (or probably ever will) it is a wonderful tool; keeping track of my shows and checking out others I don't have. Just wish it had DVD information for each episode. 
com.battlelancer.seriesguide#90631:	  This is the perfect way to keep track of what you have or haven't watched. I still haven't figured out how to fix the time for us not in the USA. 
com.battlelancer.seriesguide#90668:	   Simple and easy you can keep track of episodes from your TV series. A lot of options available.best of its kind. But currently the cloud service doesn't work!! 
com.battlelancer.seriesguide#90768:	   It helps me to keep track of the numerous series that I watch. The only problem I find is the search function. 
com.battlelancer.seriesguide#90773:	   Exrtremly good app, until 2 months ago, when was the last update. Now, just 1/4 of the shows appear at the uppcoming section, like the others just disapear. If I didn'd understood if I need the payed app just to see all the show's I'm very sorry, if not deserve lower than one star. Solve this problem and I'll change it to 5 star's as it deserves. 
com.battlelancer.seriesguide#90776:	   A TV addict's dream. Love this app. Never have any issues with it. 
com.battlelancer.seriesguide#90783:	  i have bought the full version of the app... but it doesn't seems to work... every time i want to restore my shows ... it just shows error... poor website... i hoped they should do something cloud base to manage the lists and shows well... not using until the app is cloud based either using Facebook or google account. 
com.battlelancer.seriesguide#90813:	   I've been using series guide for 4 years and it's probably my favorite app. I am a self confessed series addict who follows 20+ shows at a time and is constantly on the lookout for the latest episodes and the newest shows. The fact that it let's you tick off what you've watched and sync with trakt is awesome for keeping track of where you left off. It also tells you when a series has ended and when it's continuing. The show recommendations are a cool tool as well. App works like a charm - never failed me. 
com.battlelancer.seriesguide#90819:	   Before I got this app I'd constantly forget which episode I was up to in a TV show. Series guide solves that problem and also lets me know when new episodes come out! 
com.battlelancer.seriesguide#90830:	   No operational issues but the new Now tab is a dud. I used to live on the Recent, Upcoming, and History tabs. Not anymore. The Now and Upcoming tabs show the same info for today's date. Why? Guess I'll go back to the trakt.tv website. =o( 
com.battlelancer.seriesguide#90836:	   For some reason I am unable to add new shows. Faced this issue only in the latest update. Please address this glitch in an overall great app. 
com.battlelancer.seriesguide#90838:	   I can't connect to trakt anymore. When I enter my username and password, an error page appears... Please help 
com.battlelancer.seriesguide#90867:	  I found SeriesGuide to be the overall best app for tracking my series progress. The only issue I have with it is restoring backups. when i replace phones I've never been able to restore from .json files. I saved an earlier backup on cloud storage as well as the download folder but I always get the prompt "Restoring the backup failes". Thanks for the help. If backup function works (or the cloud sync feature) this app is easily worth 5 stars :) 
com.battlelancer.seriesguide#90881:	   Works really well, the only problem I've had is some times the wrong 'next episode' shows up, but that's to do with the airing dates/metadata and not the actual app. 
com.battlelancer.seriesguide#90910:	  There's a big problem with taking back ups. Either you should take them manually and restore it with a fine. Or you could back it up to cloud but it won't automatically restore from the cloud... Again it's manual. 
com.battlelancer.seriesguide#90925:	   There seems to a problem with adding new shows. Could you please look into it. I'm using Nexus 6 
com.battlelancer.seriesguide#90945:	  Never had an issue. Has every show 
com.battlelancer.seriesguide#90955:	   Finally I have an app that can quickly organise my shows and Movies that I watch. Its seamless intergration with Trakt is awesome so it means I rarely have to tick off anything in the app, its all done automatically. There are few times where my ratings on trakt wouldn't sync but overall a great app. 
com.battlelancer.seriesguide#90961:	   Trakt.tv sync not working. Please correct 
com.battlelancer.seriesguide#90965:	   Does not sync with trakt account 
com.battlelancer.seriesguide#90967:	   Very good app, helps me keep track of all my shows, and always functions. The only issue is the lack of proper backup and transfer, how you still can do it manually. 
com.battlelancer.seriesguide#91008:	   I really haven't had any issues with Series Guide as it works so well. It's great to remember where I am in series that I'm watching as well as telling me that the next episode of the shows that's Im watching are out 
com.battlelancer.seriesguide#91012:	  Awesome. Except there is no sync between devices 
com.battlelancer.seriesguide#91024:	   This app used to rock, but lately it hasn't been updating. It can't find new episodes of popular shows like game of thrones, suits, sherlock. Am I doing something wrong? 
com.battlelancer.seriesguide#91034:	   Overall a super app, but it FC's all the time in android N preview. I don't expect it to work right away, but just so you know, it's not runnable on N. 
com.battlelancer.seriesguide#91066:	   Been using the app for years and it's never failed me. Love the features. I recommend this to all my friends. 
com.battlelancer.seriesguide#91067:	   Whithout any bug, this app works perfectly. Thanks to the developers 
com.battlelancer.seriesguide#91142:	   Have been using this for more than a year. It's quite helpful to keep track of series and pending episodes. I don't use the social aspect of the app so cannot comment on that. I have see d the evolution of the app and it has followed Android design guidelines since the past year. The UX has been simple and intuitive. One drawback is when you click a having seen an episode there is a lag in response. 
com.battlelancer.seriesguide#91167:	   Love this app for tracking all the shows that I follow. Too bad that it won't sync across devices though. 
com.battlelancer.seriesguide#91198:	   Can't find anything as good as this on the App Store either. Please build and publish one on the app store! My iPad will &lt;3 you for it! 
com.battlelancer.seriesguide#91229:	  Whoever came up with this idea is a genius. Use this constantly, makes an annoying problem a breeze and quite fun! Had some issues updating movie lists (lost some) but otherwise no complaints! 
com.battlelancer.seriesguide#91308:	  Recently it was not possible to add any shows to my list. Please fix the problem. I have even updated to the latest version. 
com.battlelancer.seriesguide#91331:	   I always rely in this App for tracking down my fav TV series and I love it!!! It never fails! 
com.battlelancer.seriesguide#91337:	  Best app to track shows! Does not port from phone as there are no user accounts though. 
com.battlelancer.seriesguide#91365:	   It's a great application, never failed me. 
com.battlelancer.seriesguide#91381:	   My experience with it so far has been a delight I haven't had any problem whatsoever I'm loving it 
com.battlelancer.seriesguide#91407:	   Guys, seriously now, you screw the app up everytime you launch a new update. Now, every text in the app is backwards, like in a mirror. Its a great app otherwise, but those updates really upset users Iike myself. ------- Thank you for fixing the app so quickly. All the best! 
com.battlelancer.seriesguide#91422:	   Does just what I need it to do. Developer is very active in fixing the few bugs and providing new features. 
com.battlelancer.seriesguide#91428:	   Had this app for about a year and a half, maybe 2, never had a problem with it. 
com.battlelancer.seriesguide#91444:	  It doesn't sync correctly with trakt since last update 
com.battlelancer.seriesguide#91463:	   Error 'could not connect to traxt' always popup after updated the app. So, I cannot update the tv shows episodes and the posters dont appear for some of the series which previously were there. Please fix. Apart from that, awesome app!  
com.battlelancer.seriesguide#91536:	   Keeps track of all my shows and let's me know where I left off. Have been using it for a long time without any problems. 
com.battlelancer.seriesguide#91548:	   The best TV show and Movie guide and scheduler! I've been using it for a while now and the app has never disappointed me. Regular updates fix the small problems, and help the app run better. 
com.battlelancer.seriesguide#91571:	   Wish you could enable cloud backups e.g. Google drive sync, Dropbox sync, etc. I always lose my backups when I fix my phone. 
com.battlelancer.seriesguide#91577:	   I can't find some titles 4 Series, add more titles for series and I'll give it 5 stars 
com.battlelancer.seriesguide#91608:	   Problems 
com.battlelancer.seriesguide#91609:	   Please fix. Its showing seasons as already complete/ended when its actually still on going. Its messing with my tracking,might uninstall if not fixed as this issue defeats the purpose of the app / edit: Hi Uwe, an example would be the episodes in the Flash for the second season. Its shows that there are only 21 episodes but its actually 23. 
com.battlelancer.seriesguide#91624:	   There seems to be a problem with the episode numbering. For example, in the it shows that Game of Thrones has only 5 episodes, but the series has upto 10 episodes as the 6th episode was aired 2 days ago. This app is definite 5 star if this problem will be fixed. 
com.battlelancer.seriesguide#91625:	   Good idea, but doesn't work in the long run. I downloaded series guide, linked it to trakt and saved loads of stuff. Then I had to reset my tablet, logged back into the app and everything was gone. You'd think the lists would save to online, not the tablet. I'll be deleting this app now which is a shame as it had good potential. 
com.battlelancer.seriesguide#91632:	   Doesn't show the upcoming shows or recent. Connecting to trakt account does not help because you still have to add all shows manually. Great concept but doesn't work for me 
com.battlelancer.seriesguide#91633:	   It seems like there was some problems lately. Sometimes I check for an episode and it only shows "There is no description translated to English..." but when I checked yesterday everything was nornal and the description was still there. This is still a good free app at all. 
com.battlelancer.seriesguide#91646:	   After the latest update can't add new series.... Fix this please.. Five stars after fix. 
com.battlelancer.seriesguide#91655:	   The app was more than awesome like a month ago. But now it doesn't get updated. AT ALL. 
com.battlelancer.seriesguide#91668:	   Though the Pro version of this app is pricey, I went for it. I actually don't use this app too much because a lot of the shows I watch have finished or are not ongoing, but it really helps to keep track of shows or movies that you watch. 
com.battlelancer.seriesguide#91669:	   Would be better if it updated when new episodes are coming out. Update button has stopped working. 
com.battlelancer.seriesguide#91686:	   Easy to use, no problems with crashes or anything like that, I don't like the way TV shows is the default (it is called Series Guide, so I new it would be tv biased) I'm more of a film watcher- but I've found this to be the best trakt app 
com.battlelancer.seriesguide#91698:	   I love this app really much. Few weeks ago it stopped working good, the episodes are not updated and I really though that season was ended because I didn't get update. 
com.battlelancer.seriesguide#91701:	   Now pictures and titles won't load in widget and sometimes it lags also Sometimes show timing are not accurate 
com.battlelancer.seriesguide#91703:	  Was my one of my fav's, widget not longer updates for days after marshmallow. Not hooked to trax or any of that, I just put enter my favorite shows and look at the widget to see what is playing that evening, Widget must be forced to update, installed, did not help, rebooted more than once, does not fix the issue, wrote to the author, never heard back. Paid for it, was five stars in my books till a few months ago. 
com.battlelancer.seriesguide#91707:	   Don't know what's happened but not tracking shows properly plz fix. Used to be my go to app for tv 
com.battlelancer.seriesguide#91711:	  I am glad the developer listened to the feedback of myself and others. No more forced purple widget. We now have an option for a dark widget theme that can match most homescreen themes. But, the backup and restore feature doesn't work at all! It keeps failing. I have tried clearing the data and uninstalling/reinstalling the app but it still doesn't work. 
com.battlelancer.seriesguide#91715:	  Used to be amazing but as of recently whenever I try to add a new show it always fails 
com.battlelancer.seriesguide#91716:	   It's a great concept but the pictures do not load anymore and the lists have to be manually updated. 
com.battlelancer.seriesguide#91743:	   ... Please fix the mess with American Dad seasons, latest season is 12 and not 13 as you are listing. 
com.battlelancer.seriesguide#91747:	   Am I the only one whose app stopped working a few months ago? "There are no recent episodes" since December? For all of my shows? (Including NCIS, Nashville and others that certainly continued this year...) PLEASE HELP and I'll return to 5  rating! 
com.battlelancer.seriesguide#91751:	   I am watching a few series that for example i am at episode 7 but series guide only shows 5 episodes, so i cant tick the new episodes that i have seen. Please fix this its really annoying 
com.battlelancer.seriesguide#91752:	   I have used this for ages and it has always been excellent, the last few months some shows show continuing instead of the next episode which has clearly aired. If this was fixed I'd change my rating to a 5. 
com.battlelancer.seriesguide#91756:	   This is a brilliant app makes it so easy to keep up. Couple of things to make it better 1. If you could change the channel (example. when the show was on in America it was on AMC but in the UK its on sky1) change it to show what channel you are watching it on so it keeps it up to date. And the back up (I had to reset my phone after I backed it up and it didn't work so had to put all in manually 
com.battlelancer.seriesguide#91769:	   Everytime i open the app... Shows, now, upcoming, recent..are all blank black screens. When i try to look for a show i have it shows nothing. When i try to delete a shot it doesn't. Alot of the shows i save dont show up in the widget for upcoming shows, like cops, wwe Monday night raw, wwe smackdown....please fix. Also I have the premium version, is thete a limit or something cause now when i click to add a show it doesn't save... It's giving me A lot of problems. Cant erase a show, etc... 
com.battlelancer.seriesguide#91771:	   Just a great app to keep track of your favorite TV shows you have watched and are following. Had a problem early on, emailed dev and he was quick to assist. 
com.battlelancer.seriesguide#91772:	   New update removed the cover image for some shows. Will update rating once that's fixed. 
com.battlelancer.seriesguide#91784:	   But one problem that i have with it is whenever i want to add new tv show to the list, i always have already added shows as suggestions. I want to see some new suggestions, i know what i already added 
com.battlelancer.seriesguide#91789:	   i can't find the originals 
com.battlelancer.seriesguide#91832:	  I've loved this app for years. Unfortunately it's not been updating well, and the app's been moaning about Trakt connectivity issues. And it would be nice if Sort by Title would ignore the word "The" at the start of a title. I keep thinking I've lost shows out of my list, but then they're filed under T. 
com.battlelancer.seriesguide#91833:	  It is beyond annoying that this app becomes unusable if trakt has connectivity problems. Why is it not possible to just set episodes watched on device and let it sync whenever it can get a connection instead in real time. 
com.battlelancer.seriesguide#91860:	   Was good initially but won't login to trakt. Opens a page that just constantly reloads in browser and have to force close and delete browser data to get browser back. 
com.battlelancer.seriesguide#91862:	   After entering my credentials, it gives me an error that something went wrong. Tried the apps browser too 
com.battlelancer.seriesguide#91865:	   Love this app. But recently it hasnt updated sherlock broadcast dates.. plz fix. :) 
com.battlelancer.seriesguide#91879:	  Need to fix some bugs ... than its gud to go ... 
com.battlelancer.seriesguide#91903:	   Frequently won't update TV shows even when I confirm the episode data is on Trakt. Only way to fix is an uninstall then reinstall. Had to do it twice. Won't do it again. Disappointed. 
com.battlelancer.seriesguide#91914:	   Can't get it to work. Why can't you make these apps simple. You don't tell us we need cable. Can't afford it. 
com.battlelancer.seriesguide#91924:	   I absolutely love this app! It keeps me organized when it comes to my weekly shows, and when I'm catching up on a series on the side. However I often encounter errors when it tries to communicate with Trakt. Suggestion: allow offline "Set Watched" options if there's connection issues, and send the data once a connection is established. Otherwise this app can be useless if Trakt isn't working right. 
com.battlelancer.seriesguide#91936:	   It works superb and is the best tv show tracking app on the market, but there are still a lot of shows that you can't find. For example "The Leftovers" or all the Digimon Seasons (it has only three randome ones). Please fix this! 
com.battlelancer.seriesguide#91941:	   Great app but the widget content is really tiny, makes it almost impossible to read. Purchased Pro version and still no way to fix it 
com.battlelancer.seriesguide#91950:	   I will give 5 stars once the following issue is resolved: On the recent section, when infinite calendar is selected, the app continuously cycle through each of my series showing every single episode as unseen when I have tagged all the episodes as seen and then removing then from the view. This gets annoying when some series have hundreds of episodes. Not sure if this is a syncing issue with trakt. I think this is also draining my battery. 
com.battlelancer.seriesguide#91955:	  This app has been great for a long time but recently the shows aren't updating. I have to remove & add them again for it to update. Please fix this. 
com.battlelancer.seriesguide#91961:	   These developers pay attention. The update had caused some glitches, but they heard our complaints, and immediately fixed the problem. Now it is back to the greatest app ever. Kudos to the geniuses behind making this my favorite app. I WILL BUY THE PRO VERSION BECAUSE I CAN SEE THE DEVELOPERS ARE KEEPING THIS APP UPDATED AND CONSISTENT, AND ARE NOT GOING TO RIP U OFF AFTER U BUY IT. LOVE IT!!!! 
com.battlelancer.seriesguide#91966:	   this was my favourite app till this happened. it stopped updating some shows like grey's anatomy and modern family. fix it if you can, am switching to another app till its done 
com.battlelancer.seriesguide#91979:	   Repeated notifications of it crashing prevented me from using my phone. I had about half a second between pop up notifications to navigate through my settings and eventually uninstall the app. Needs to be fixed before reinstalling. 
com.battlelancer.seriesguide#91990:	   I love this app but it takes way too long to sync with Trakt. Please fix this. 
com.battlelancer.seriesguide#91998:	  The trakt interaction has issues about 50% of the time... although the website is working just fine. This is NOT the first time this happens. Can you finally put an end to this madness? Also, you've added color to the header inside the navigation view with the last update. Good job. But there's still no trakt image while logged in with trakt. 
com.battlelancer.seriesguide#92001:	  It's very good but now at some point it stopped showing the newest episodes in all the series. Please fix it. 
com.battlelancer.seriesguide#92006:	   Been using this for a couple of years and it only gets better and better. I don't get much usage out of the lists and movies functionality but the TV tracking and episode information etc is fantastic. Topped off with a developer who gives clear information in descriptions about updates and provides good support and you definetly have a 5 star app. 
com.battlelancer.seriesguide#92014:	   Schedule is not updated to date.. Some of episodes r not released yet or that the release day is different.. But it is a simple problem to fix.. Rest of the app is super great and lovely 
com.battlelancer.seriesguide#92032:	   Can't find Sense8, The Affair, The Missing..just to name a few. Is it me or the app no longer gets its DB of shows updated? 
com.battlelancer.seriesguide#92040:	   Used it for a very long time, and all of the sudden the widget stopped working (show me only the next episode at best).. Happened after the last update. A little disappointed actually. Hope it will be repaired soon 
com.battlelancer.seriesguide#92045:	   What's happening. The shows aren't getting updated at all. Is there a new bug fix coming up? I love this app, and don't want to uninstall!! 
com.battlelancer.seriesguide#92058:	   I've NOOO problem with this app, and it's so comfortable 
com.battlelancer.seriesguide#92062:	  Everything was awesome until some shows became Continuing even though they are still running... please fix 
com.battlelancer.seriesguide#92065:	   Idk why the shows aren't getting updated now. Please make an update asap!!! 
com.battlelancer.seriesguide#92079:	   Useful and fast but with syncing problems 
com.battlelancer.seriesguide#92084:	   One problem I am having is that I can't view the full name of the shows that have a long name 
com.battlelancer.seriesguide#92088:	  The icon for "watched" is so dull that I think it means "not watched yet". That's the only problem with the app. 
com.battlelancer.seriesguide#92112:	  Has many old shows I watch regularly (Columbo, Corner Gas) and works great offline. Dates and times don't match up with Canadian broadcasters, but I don't use it for scheduling - just for keeping track of the episodes I've seen and it's perfect for that. 5 stars! 
com.battlelancer.seriesguide#92120:	   This app doesn't save all your settings and lists and fails to pull all the data from trakt account appropriately. This needs to be fixed. 
com.battlelancer.seriesguide#92122:	   Dont bother with this app any longer. Its slow as hell, ignores settings and i dont think there's a lot of work being done on it anymore. It also has a problem with wakelocks/power consumption. Tried it with several phones ROMs and kernels but at this point I give up and move on. The trakt mobile site has become excellent by now. 
com.battlelancer.seriesguide#92130:	   You fixed the DHD crashes! You are awesome :-D thanks! 
com.battlelancer.seriesguide#92134:	   Most recent version hits as risky in Comodo after this last update! Please resolve this issue! 
com.battlelancer.seriesguide#92135:	   Won't even launch. Immediately force closes. Please fix; I use this app on a regular basis. Thanks. Update: latest version now works. Updated rating to 5 stars. 
com.battlelancer.seriesguide#92136:	   Essential for TV and movie watching enthusiasts. Only issues are minor and you can usually find a work around, more annoying than anything else. Would really like imdb/metacritic integration. 
com.battlelancer.seriesguide#92149:	   After sync stopped working it's more or less useless.. It's not refreshing remote watchlist or sending watched episodes to server. 
com.battlelancer.seriesguide#92150:	   I love how I can keep track of my shows and episodes I have or have not watched. Although, the shows have stopped updating. Even though I have good Internet connection, the app doesn't recognize any upcoming episodes for certain shows. Also the descriptions of each episodes are now nonexistent. Please fix these issues. 
com.battlelancer.seriesguide#92161:	   ... but when Trakt is active, seen shows keep showing up again... also deleting shows gets hard as it always seems to be synchronizing... will disable trakt again hoping for a fix 
com.battlelancer.seriesguide#92165:	  Does not synch with trakt. It let's me connect but non of my watched or watching shows show up. However my watchlist does show. 
com.battlelancer.seriesguide#92173:	   I had been using this app for quite some time. Didn't open it for a few months, then open it again and all the shows I was tracking are gone and nothimg shows up. Not worth uaing if they made a change along the way that lost all my info. 
com.battlelancer.seriesguide#92200:	   Arrrggghhh! Hasn't worked since last update. 
com.battlelancer.seriesguide#92202:	   Everything is great about this. SeriesGuide Cloud works perfectly with X Pass and all the shows are synced with all your devices. Only two things I would consider fixing. Number one is the connection with Trakt, is mostly bugs and has some sync issues, but it can be as must Trakt's fault as it can be SeriesGuide's. None the less, I still prefer SeriesGuide to Trakt because of TVDB, which is almost used as a standard for TV shows information. Trakt has it's private database so sometimes it's information mismatch TVDB and some sync glitches appear. In the end, I stoped using Trakt. Number two would be to add a feature to set the episodes to re-watched (as many times you watched it). For now I just uncheck the Seen Episode when I re-run a series and check them back when I watched the episode, but as I said, a re-watch count would be great, especialy with the stats so they don't erase the time watched when unchecking the episode. (I'm not sure if i'm very clear, but you get the idea.) In conclusion, best app out there for TV show tracking. 
com.battlelancer.seriesguide#92205:	   good app considering the alternatives out there. the main thing that bugs me though is the auto update doesn't really work. will find myself watching a show on tv thinking i've downloaded the latest (according to the app) only to find i've missed one or two episodes because the app hasn't updated itself to show the latest content - and that kind of defeats the whole point of the app. 
com.battlelancer.seriesguide#92226:	   With one minor issue lately, search is not bringing results other than what I already watch... Bug? 
com.battlelancer.seriesguide#92227:	   But when it updated (and me prompting. Had to completely uninstall and the reinstall) yesterday, it now when I click on episodes it makes a green box around the check mark and doesn't take it off the recently aired section... Pooh! Please fix and will update my rating 
com.battlelancer.seriesguide#92228:	   Sync with trakt.tv service doesn't work as expected (e.g. seen episodes in app not marked as seen in trakt.tv when wieving in web browser). probably not the fault of the app. 
com.battlelancer.seriesguide#92247:	   I have been using Series Guide for at least a year now and up to this point I have loved it. But lately, I regularly have trouble syncing shows to my Trakt account (have to manually sign in and out only for it to work for a few seconds), and marking something as watched takes forever to take hold. This started happening a couple updates ago. (Problems exist on both my tablet and phone.) It's becoming more work of a headache to use than the headache it solves. 
com.battlelancer.seriesguide#92249:	   Lately the shows aren't updating. They say "continuing" when they are still giving new episodes weekly. Plz fix 
com.battlelancer.seriesguide#92250:	   Does what I want without any problems. 
com.battlelancer.seriesguide#92253:	   I'm in love with this app, but I have two problems. 1. You can only set watch a movie when you add to your watchlist. 2. The watch time for movies are only on watchlist and not on watched, I think the second one is more important. This 2 things will be incredible. 
com.battlelancer.seriesguide#92265:	   Why is it not loading episode info now? It started before needing to update and continues after app updated. Please fix. Thanks 
com.battlelancer.seriesguide#92273:	   The app is not working properly...its not updating the shows...the new ui is awesome...bt with no updation in the shows...its becoming a problem....plzz fix it... 
com.battlelancer.seriesguide#92276:	   Use this app every day. One small problem, what happened to the trending option when you select new shows? 
com.battlelancer.seriesguide#92282:	  Trakt doesnt log in so useless until thats fixed. 
com.battlelancer.seriesguide#92301:	   One flaw though: thumbnails for movies aren't loading 
com.battlelancer.seriesguide#92303:	   Latest update: don't like the new tab. Just bring back History and Friends tabs. Previous comments: Was 5 stars easy. However currently shows are showing as watched in history tab but not watched in recent tab. Could be Trakt issues though I suppose. I assume Trakt are to blame for missing friend tab also. 
com.battlelancer.seriesguide#92313:	  Please update this app timings and info is not at all correct please fix it.I liked it in the beginning but now I am hating it 
com.battlelancer.seriesguide#92317:	   But why aren't you updating "The Walking Dead" ?? I am not getting the new episodes in my "RECENT" the new episodes. FIX it pleas, for now 4 stars 
com.battlelancer.seriesguide#92327:	  You're unable to check watched episodes online. And recently, trakt has issues connecting. 
com.battlelancer.seriesguide#92345:	  The TV series aren't getting update so please fix it &gt;.&lt; 
com.battlelancer.seriesguide#92348:	   The last month or so, it's been having problems connecting to Trakt. Please fix it! 
com.battlelancer.seriesguide#92349:	   Trakt V2 DO NOT WORK..... 
com.battlelancer.seriesguide#92368:	   I have been using this app for nearly 6months. The issue with trakt has become horrible. All my watched episodes are unmarked. Same for the add to collection flag. TVShow time is much better! I would not want to migrate to a new app but, if this persists I will have no choice. 
com.battlelancer.seriesguide#92375:	  Still there is much problem with trakt login and sync.... Plz fix it 
com.battlelancer.seriesguide#92377:	   Used the app for a long time now. The UI is good and it follows material design. There are plenty of settings to tailor it to your needs. However recently there seems to be a lot of problems with syncing to Trakt. Hopefully this will be fixed soon. 
com.battlelancer.seriesguide#92378:	  Error connecting to trakt everytime I try to mark an episode watched. Has to do with a recent update. 
