org.coolreader#120001:	  Not good can't open epub file 
org.coolreader#120399:	   that is all I got.. also error 502. uninstalling.. 
org.coolreader#120402:	   Been using it for years. Used to be quite stable but recently keep crashing. Please fix. 
org.coolreader#120403:	   I've been using this app for some years now and suddenly it won't save my settings, every time I close the app the settings reset. 
org.coolreader#120405:	  Cannot read SD card on Android 6.0. Please fix. 
org.coolreader#120408:	  Horrible app, they ignoring system settings, crash 20 time per day, and don't save place where I read last time. 
org.coolreader#120412:	   I lost my place in my book and cc decided to start again but the drop down arrow whilst in the book has disappeared so I can't skip to pages or even read out loud anymore. Help or fix 
org.coolreader#120413:	   Love this app strong versital in a compact size. Reads most formats and saves your place as well. Even among several books. Would give it five stars but it has a tendancy to crash after 15-20 pages on my lg Vista when changing the page, its an annoyance that is quite frustrating. Ootherwise fix that and I will give 5*. 
org.coolreader#120414:	   Seriously?No memory card support?Then you in the wrong store,should be in iTunes store,they don't use memory cards. 
org.coolreader#120415:	   Every time i try to read a book, after awhile it crashed and then force close by itself. What happen ? 
org.coolreader#120423:	   Since last update to Marshmallow, it would not see SD card or Dropbox/Google drive/One drive. Can you fix it? 
org.coolreader#120433:	   Its so confusing I can't find a book or anything hate it! 
org.coolreader#120435:	   I've been using this reader for a long time and loved it... until recently. When the last update installed it caused some issue with my SD card and I can no longer access my books that are stored on there. I just recently purchased a whole bunch of new books and can't read any of them... very frustrating! Please fix! 
org.coolreader#120436:	   I don't understand why it keeps crashing on my phone. It's always fine on my tablet. My tablet is an old version of android and my phone is the latest one. Is it not compatible with the latest version of android? 
org.coolreader#120439:	   I get internal or emulated sd internal, but can't file path to actual external sd card. I have current phone and Android os, and moving files another time is not worth it. Looking for a fix out working app, which ever comes first. Having a reader versatile with formats read and other customization is great. This was my default reader. The initial page load is slower than kindle and bookmarks work, but could be refined and a little more visual. 
org.coolreader#120440:	   Please fix this, and I would give 5 stars 
org.coolreader#120441:	  Love the app but it crashes a lot 
org.coolreader#120442:	   It is a good reader except for constantly crashing - constantly. I am very tired of this. 
org.coolreader#120443:	   Not working for Android 6.0 for Samsung S5. Not able to access external SD card. 
org.coolreader#120450:	   It opens the file but doesn't display anything. Then it crashes. 
org.coolreader#120452:	  Hi all. Been using this app for over two years and it's absolutely reliable..until now. Upgraded to android marshmallow and now can't access the SD card?!! What's up with that?!!!! Neeeeeeed a response urgently 
org.coolreader#120454:	   Hangs a lot. Hard to use interface. Text can not be selected easily. Dictionary does not work. 
org.coolreader#120460:	  Excellent! Just what I was looking for... I'd like to donate, but there is no PayPal option... No problem with epub format, slight problems with prc (MobiPocket) format... Working great on Samsung S4, LG GPad V500, Gigabyte GSmart GX2... Android 4.4.2 and 5.0. Does NOT see extSD on Samsung S5 + Android 6.x 
org.coolreader#120462:	   No major or even noticable bugs. Works flawlesly on every android device I have. Useful and comfortable reading modes. I recommend it, if you want to turn your android device to e-book reader. 
org.coolreader#120465:	   I've been using this reader for a couple years and it recently started crashing after an update. It freezes or closes without warning. Frustrating. 
org.coolreader#120466:	   But you need to fix the external sd card issue on Marshmallow. I don't want to keep my books on the internal memory. 
org.coolreader#120469:	  Installed it to read mobi files downloaded from AO3. It won't open them--gives an error message. 
org.coolreader#120476:	   CR no longer recognizes that I even have an external SD card. It will only read the device memory. I don't keep my books there. Fix this please. 
org.coolreader#120483:	   Have been using it. But now in Marshmallow and infinix hot 600 it can't open the folders and with .rtf files. Please rectify 
org.coolreader#120484:	   Still had some crashes 
org.coolreader#120485:	   I've looked through the whole play store , but I didn't find anything better. 
org.coolreader#120487:	  Good but it crashes sometimes... Please fix it thanks :) 
org.coolreader#120493:	   Nice features but crashes too often and fails opening many epubs 
org.coolreader#120494:	   On my Kindle Fire, the Kindle reader read my PRC books fine. This app gives a message saying, "Error Reading File." My books appear and seem to be recognized, but they just don't open. 
org.coolreader#120502:	   Fail 
org.coolreader#120504:	   So I made a folder on my SD card but I cannot access it from within this app. Useless for me. 
org.coolreader#120505:	  Never had a problem 
org.coolreader#120508:	  Have been using this app for about 2 years now. Never had a problem till I got a new phone. Every time I exit the app, the font size and the brightness are set to default. Really annoying. 
org.coolreader#120514:	   I like the reader a lot, but it crashes a bit too often. 
org.coolreader#120515:	   Will give 5 once it's fixed. Happens more than 5x/hour. Hang and jump back 50+ pages. Please fix it as I really love this app and don't want to change to other apps. Tried reinstall. Still the same. This happens after the update 
org.coolreader#120531:	   I used to love this eReader, but I keep all of my eBooks on my MicroSD Card so as not to use primary phone storage, but now all of a sudden I can't access my books... 
org.coolreader#120532:	   Errors 404 500 won't download books in 2.1 where fbreader wont even install. Use spicysquid EbookReader. Works well 2.2. 
org.coolreader#120533:	  Crash, crash, crash on tab 4 
org.coolreader#120538:	   Great, free, used to work, suddenly won't find my books on Sd anymore, now useless. Please fix, same issue with cool reader gl. 
org.coolreader#120546:	   Everything is great. The only issue: it pretty often opens previous book instead of current one. 
org.coolreader#120549:	   Does not open external SD directory 
org.coolreader#120552:	    Great ebook file types support. Been using it for a long time. Some very small number book titles that I have looked weird on my 4,5" phone screen, especially the ones with heavy css stylings, but it's far from ruining the reading experience. Just turn off the css and everything is well. Also, footnotes and footnote links doesn't appear at all, css or not. It'd be so nice if these are fixed. 
org.coolreader#120556:	   It crashes when tilting android phone to read in landscape or portrait. Last crash wiped clean the books file from my sd download directory also. 
org.coolreader#120560:	   Crashes too often 
org.coolreader#120562:	  Unfortunately, I can't see my SD card after update to Android 6. Is this an issue in the app? (or maybe some system glitch) 
org.coolreader#120589:	   Was a time when I used to use only this software for all my books but lately it crashes so often. Can't read any book over 2mb in size and the settings once changed in error are difficult to roll back 
org.coolreader#120592:	   Tried many readers but this offers more choices when it comes to exporting annotations either individually or as a text file or sending to other apps, eg Evernote. Great choice therefore for students and scholars. Developer responds promptly and helpfully to emails. Updated: since I left review various updates but sadly random and unpredictable crashes remain, losing all notes and bookmarks made since app was opened. 
org.coolreader#120598:	  Does not work, I can't access any of my books. Uninstall 
org.coolreader#120609:	  Too many bugs 
org.coolreader#120610:	  It's been my favourite e-reader for a few years now, on my rooted Nook Simple Touch. Unfortunately the latest version doesn't work and crashes before even starting :( So I'm sticking to the old version. Would love to have the updates work again. I love that it shows as an option from the Nook's 'currently reading' button, and that I can use the Nook's side buttons to go forward/backwards. Customization of tap zones is a very handy feature. I do wish the library were easier to use, though. 
org.coolreader#120611:	   when I first downloaded worked fine now it shuts down and takes forever to load if it even decides to load... thanks for fixing crash problem I love it again 
org.coolreader#120614:	   Since the upgrade to Android 6, it does not seem to be able to access my external SD card to read my ebooks. Have used it for years. Cannot use it now. Please fix! 
org.coolreader#120615:	   If works well on your device it is a reasonably good reader. You can customize a lot regarding how it displays -- althouh finding the setting you are looking for can be chellenging. Unfortunately, it was crashing every few minutes. 
org.coolreader#120620:	   Why ICAI website epubs are not downloading?? Pls help.. 
org.coolreader#120621:	  Very useful....been over a year and haven't had problems 
org.coolreader#120624:	   Was my favorite reader app until move to Android 6. Can't see external storage formatted as portable. Unfortunately that's where the books are. Would be happy to re-rate when bug is fixed. 
org.coolreader#120629:	   Help fix this problem please 
org.coolreader#120632:	   Very good app, used to be my go-to ebook reader, but recently began to constantly force-close and lose track of the page of the book i'm currently reading. hope this would be fixed soon. meantime, i'm using a competing reader... Edit: using Samsung Galaxy Tab S 8.4 and 5.0.2. 
org.coolreader#120633:	   I have been using this reader for many years, and it has always served me well. As another reviewer has mentioned however, it seems that in Android 6.0, files located on an external SD card cannot be opened by cool reader. I hope this is fixed in an update soon. 
org.coolreader#120635:	   Needs update. Keeps crashing again. 
org.coolreader#120641:	  The app was great but now it crushes and it loses the reading progress which is really bad. Please fix it otherwise I'll delete it forever. 
org.coolreader#120643:	   One of the coolest readers indeed. A loooot of customization options, just about everything you can think of. However, there are a couple of issues such as paragraphs disappearing, cover not appearing, table of contents removed, and unexpected shut downs.. The latter which is infrequent, but reoccurs many times when you come across it. 
org.coolreader#120646:	  This is fantastic. One of the best with updates. I'm glad I didn't buy a kindle or similar device. Bookmark problem however. Seems to store but come back in a few days and last one missing! A bit annoying! Can this be fixed? Is there a limit to how many bookmarks you can have? Pdf reading - when will this be added? Still waiting for PDF reading ability. This would be awesome!!! 
org.coolreader#120657:	   It is not reading italized text. It skips and continue reading on the next sentence. Please fix.... 
org.coolreader#120658:	   On every net book, error 404 
org.coolreader#120660:	  Crashes after system update to 6.0 
org.coolreader#120662:	   But I'm having trouble getting it to open rtf mode books. Says error 
org.coolreader#120667:	  This used to be my fav reader, tho now a lot of the old features I loved doesn't work, and just :( PLZ FIX, I TRIED SO HARD TO MAKE IT WORK 
org.coolreader#120668:	  I've used this app for about two years now and I've always loved it. I love that it's easy to adjust the size of the fonts and the background lighting and even the background color. I can read most of my stories and files in this one app. The only reason I did not give it five stars was because of something that just recently started happening. I had to erase my data from my phone a few days ago and when I reinstalled this app, i began to get lots of pop up ads as if I don't turn the page fast enough. I don't know if I picked up a bug and its just my phone, but since this is the only app doing it. I'm wondering if I now need to pay to stop the ads or what. if someone could let me know that would be cool. thanks for such a great app. I really do like it. 
org.coolreader#120671:	   Tried opening an RTF file on my Android phone. The file was an attachment to my email. After installing "Cool Reader" I tried this. Still got an error message saying no app on my device can open this. After about 10 minutes of having this app, I have thrown it where it belongs: In the Uninstall Garbage Bin. 
org.coolreader#120672:	   Crashes every other page! 
org.coolreader#120673:	   it don't find pdf file. don't read prc file. only read txt :)) what is app? 
org.coolreader#120674:	  Crashes often. 
org.coolreader#120680:	  I have been using this app for sometime and find it excellent. but now i face a problem.i got an android update and upgraded to android 6.0. After that cool reader stopped recognising the external sd card mounted .other apps are able to access but not coolreader.i am forced to transfer books to internal memory and read.please fix this and i will rate 5 star 
org.coolreader#120682:	   Great reader for the file format options, but crashes LOTS. When you start it back up you've usually lost your page and need to search it out. 
org.coolreader#120684:	   But still crashes, at list 3-4times per book 
org.coolreader#120685:	   Good options that doesn't work 
org.coolreader#120693:	   This works beautifully. Reads all eBook based file formats, allows for many customisation options, bookmarks with ease, and has many functions essential for any avid reader (too many to list). My only "complaint" is that you must find the file using CR, it doesn't just bring up all found on device period, as some others do. But if you know where to look, that shouldn't be an issue. 5/5, would definitely recommend. Edit: is capitalizing all letters Edit: switched from epub to mobi, fixed for now... 
org.coolreader#120697:	   I am using your app for a while now, but recently it started crashing like 5 times in a row.. very upset with that, waiting for a fix. Using galaxy alpha 
org.coolreader#120700:	   Great app but please fix screen rotation bug. Its not following the global settings. 
org.coolreader#120704:	   Waiting for new updates fixing crushes. Can not use it - crushes every 5 minutes. But still hope they gonna fix it and still don't uninstall it. Meanwhile using other reader. Guys come on 
org.coolreader#120707:	   Works best for me. Very sophisticated, detailed interface; very intuitive and genuinely useful options. "Book Shelf", "Last Read", "Storage", "Sources" right up front on a "desktop"; no menus in menus. Crashes now and then - not too often - but so do I. 
org.coolreader#120711:	   It is frequently crashing. 
org.coolreader#120712:	  All crashes fixed! 
org.coolreader#120714:	   i used to love this app but now it crashes every time i try to use the dictionary feature. when it crashes it loses my page. please fix this. 
org.coolreader#120717:	  Not the one I need. All my books and docs are pdb. This app description says it reads pdb,but it doesn't :( It reads e pub like many other apps, it is cool, but why does it promise something it can't do? It says error :/ 
org.coolreader#120719:	  I am uninstalling because it is not user friendly. You will not able to add any book 
org.coolreader#120721:	   This app really rocks! It won't disappoint You, cool reader reads books when all other readers fail! UB reader failed to read something but this read it! It looks a bit bad but it works better than anything. I even somehow managed to download the messages off a social network and read THEM as a book! Beyond compare, you will love it, do rate it 5 stars! 
org.coolreader#120723:	  It still crashes occasionally even though I'm now using it on my Nexus 5 with 6.0.1, and sometimes the titles are a bit messed up unless I don't allow the document's internal styling. I'd do that but if I don't allow the document's internal styling, italics disappear. Otherwise, works like a charm. 
org.coolreader#120728:	   Crashing frequently since last few weeks on my galaxy grand jelly bean 4.2.2. Pls fix 
org.coolreader#120730:	  Terribly unstable. Just keeps crashing. Other 3 ebook readers on same devices are perfectly stable. UI and icons feel rather dated. On the +ve side, page background is pretty nice.. Gives old book look. It's a small app that opens a lot of formats. 
org.coolreader#120732:	   I had a different OS before and CR worked perfectly. But when I upgraded my phone that has a lollipop os, it will always crash. Nothing wrong with the interface but the app will randomly close. Please fix. And I wish docx format will be supported too. Thank you! 
org.coolreader#120734:	  App is lagging while turning the page. My devices are HTC M8, which I changed to M9 and got the same problem. Please, optimize it. 
org.coolreader#120736:	  All of the fonts are the same, i. e. The adjustment simply doesn't work. Disappointing. There are other readers. Also, in a plain text file it interprets an apostrophe as a question mark, making the app totally unusable. Of course, the developer will continue to ignore me. 
org.coolreader#120738:	   his is the worst ap ever it won't let me read any books when ever I go to it it freeze fix it and I might give 3 stars fix the problem plz 
org.coolreader#120749:	  Cannot open pdb files 
org.coolreader#120753:	   Great e-book reader. But the latest version crashes every 5-10 minutes!! 
org.coolreader#120754:	   ..At all. It was good app before all those updates. Now I can't open a book without crushing the app and reopen it several times. I would be happy if it wasn't so laggy. 
org.coolreader#120764:	   Well done, good backgrounds and has never crashed on me. Multiple devices. 
org.coolreader#120767:	   Works great and been using it for a while. The biggest problem I have had is the screen auto rotates in the app no matter what the global setting is. It's frustrating if you want to lay on your side and read as the screen turns 90 degrees. This is about the only app I have come across that ignores the global setting. 
org.coolreader#120770:	   Does not work properly. Sometimes it opens books for infinite time. And often it quits on page turning. There are better apps. 
org.coolreader#120772:	   I just downloaded this app but can't download books! Give some instructions 
