com.fsck.k9#50000:	  Your app will not work on my tcl 5056 n.... Then again I am smart and use a vpn.... Dumb ass 
com.fsck.k9#50039:	  Love this app except since the last update it has a bug. When you open an email it won't load it until you back out and reopen it. Annoying. 
com.fsck.k9#50043:	  Been using this app for years and have loved it until this latest update. It's takes forever to check/download emails, locks up when searching and it drains my battery like crazy. Never had an issue before this update. Running in Galaxy Note 5 
com.fsck.k9#50046:	  Edit: Still using K9 Mail. The most annoying thing about this app is deleting multiple emails. Rather than press and hold to enter into a "select mode" where you then tap all your emails you want to delete, you have to press and hold each email and choose "select". This takes ten times longer to simply delete multiple emails. It's rather painful amd annoying. All of a sudden I could no longer send email, only receive. I went to the server settings for outgoing mail, and clicked next and immediately got an error. I didn't notice at first, but after the update, www was added in front of my outgoing server. removed the www and it worked fine as it should. Thought I'd post this in the review section in case others come here with the same issue 
com.fsck.k9#50052:	  Not able to send messages, always gets an error if socket session time out 
com.fsck.k9#50056:	  Really wanted to love it but last couple updates really screwed it up. HUGE lag when getting emails, date sorting is wrong, crashes when adding attachments to emails, sending errors.. all basic email functions that should just work. Sorry 
com.fsck.k9#50057:	  Can't find the bottom bar that contains the buttons to reply etc. Is it with me only? Another: I couldn't see my newer emails. Although, I receive notifications, but they are not in the inbox. So I cleared data and logged in again and it worked. 
com.fsck.k9#50062:	  For years, this was the best Android mail app available. It's unbelievable how the current developers have ruined such a fantastic email utility. Many of the old behaviors have been modified to work in unintuitive ways, demonstrating a lack of basic user ergonomics. The Unified Inbox in particular is a catastrophe. Now, unread messages show before read messages regardless of date or time. Read messages do not show at all (they completely disappear from Unified Inbox) UNLESS YOU READ THEM WITH ANOTHER CLIENT (such as your desktop PC). If you read a message with another client, it will appear below the list of unread messages, completely out of time/date order. The Unified Inbox worked perfectly in older versions, but whoever has been modifying the code for this section of K-9 is essentially incompetent. There should be settings to configure the Unified Inbox behavior back to the old method if a user prefers that. It is after all the reason most of us switched to K9 in the first place. But the current behavior of showing messages read on another client in one way, and messages read in K-9 in another way, is just extremely poor development, and it needs to be fixed. 
com.fsck.k9#50066:	  Spent countless time trying to get gmail to work. Keep getting errors. When you try to contact K-9 support you get a message that tells you that any message to that address will be ignored. Only way to get help is through their forum and nobody replies. 
com.fsck.k9#50070:	  I've been using K9 mail for a long time. When I am forced to change Gmail PWs, I have to uninstall & reinstall for the app to work right. Also having issues with sync suddenly being disabled on accounts. No way to contact developer anymore and app has become a pain in the a$$ to use. 
com.fsck.k9#50071:	  Wanted to use OWA... But it failed 
com.fsck.k9#50073:	  Requires OpenPGP to for encryption. I adore the night mode & color marking by the arrival addres. Haven't run into trouble with it yet 
com.fsck.k9#50074:	  I thought it was doing okay, but Keeps crashing. Reduced rating down from 4.5 to 2.5. :( I'm Not willing to send report because the Report button doesn't allow me to see what's being collected and for me to choose or approve. I greatly appreciate being able to export settings, & receipts, & many other features. Other than the need to fix crash problem, I can only suggest 3 things: 1. Allow messages to be date grouped in the Inbox with header title being a date; like the way the default /stock email app does it on Samsung Galaxy phones. 2. Allow to only download headers; again like default email app. 3. Allow emails to Not be synced/stored on phone. Especially when setup as an IMAP connection. 
com.fsck.k9#50075:	  After the latest update, even once the app is opened the notification in the notification panel still remains. That needs to be cleared manually. Once a mail is moved to trash it cannot be moved to inbox again. Besides these issues it is a very good app 
com.fsck.k9#50077:	  Been using K-9 for years... not because it's the hands-down best mail app (can't say it is) but because they fix issues quickly and nearly always fix them the *first* time. That's rare (sadly). I'll take great support over bells/whistles any day. 
com.fsck.k9#50078:	  Get a lot of 'Failed to send no SMTP' messages. This is frustrating enough but since S update when message fails to send it doesn't stay in outbox to retry, it just disappears and have to rewrite. Tried to report on github page as requested but couldn't find it. 
com.fsck.k9#50079:	  App crawls to a halt, crashes frequently. I suspect that the app can no longer handle large amounts of IMAP email. Please fix this!!! 
com.fsck.k9#50083:	  Use to love K9 Mail. But ever since about 2 updates ago, I just can't take it anymore! It takes like 5 seconds or more for the email to display after you attempt to open it. There are some other small annoyances with the latest version also. Hopefully they'll fix the issue but until then it's another all for me. 
com.fsck.k9#50086:	  Latest updates is causing the app to constantly crash on my Samsung. You can't compose an email as it will crash while you are doing so. 
com.fsck.k9#50089:	  Love it but after the latest major update the sear g is not working as before anymore. Hit the search and app freeze.. black screen some times And our ask to close or wait other starts with about 10sec delay then searching in server takes a lot time (before everything was fine). I miss the delete button for all mails in the notification bar. Android 7.1.1 Nexus 6p. 
com.fsck.k9#50091:	  Latest update is useless, pinch to zoom doesn't work, crashes regularly and runs ridiculously slowly please fix it urgently. Ok pinch to zoom now fixed. Still running like a tortoise and crashing all the time. 
com.fsck.k9#50092:	  Yahoo's new security update is not compatible??? Please fix. I really wish the app didn't have to download a set number of messages. If I delete a new email why do really old emails reappear so I have to mark them read - again, and again, and again? this isn't required for Yahoo mail just my POP. 
com.fsck.k9#50093:	  Very clunky. A work in progress. Didn't work with Gmail. Kept creating its own folders in my gmail account to mirror my existing ones and other goofiness. WTF. Hope it can get better tested and figured out. Stopped trying after I couldn't get gmail to work correctly. 
com.fsck.k9#50094:	  My favorite email client for years, but it's awkward and full of annoying little bugs. And, no, I don't want to spend hours navigating your user UN-friendly site just to try to report this. I tried that. It's a huge waste of time. Samsung galaxy s6 
com.fsck.k9#50095:	  It just stopped working for no reason. Won't connect to incoming or outgoing server. Been working fine for years then today it just stopped. Had to go to Gmail app. WTF? Checked all settings in Gmail and app. 
com.fsck.k9#50099:	  Thankyou for the quick fix to the previous update. This should be a paid app 
com.fsck.k9#50101:	  I've been using k9 for years and have loved it, but the last 3 or so updates have been horrible. Slowed the app down, and caused often crashes. I'm going to find an old version until this is resolved. 
com.fsck.k9#50102:	  Still crashing frrquently after most recent update. Recently crashed while drafting email and I lost all the email I had typed. Wish you could move an email between email accounts. Long-time user but frequent crashing has caused me to switch email apps. :( 
com.fsck.k9#50105:	  This app is good. Two problems: first it has lost draft emails (ones I have drafted on PC, then opened in app to send and found no content or attachment - very bad as they were work emails. Second, a recent update seems to have broken notifications so that opening the actual app no longer removes the notification for new emails, even if you have read them. 
com.fsck.k9#50110:	  Little things keep breaking. Certificate errors seem to be fixed, but now I can't mark an email read from the notification panel. 
com.fsck.k9#50116:	  An issue since the last update...It's saying syncing is disabled even though I have it set as always..please fix..otherwise..I love this app. Works consistently & offers so many options for colors & displays. 
com.fsck.k9#50126:	  This a very easy to use app. I have had no problems using it and haven't noticed any glitches or bugs. It's a great alternative to Google's email client that comes with Android, for those of you who are concerned about privacy online. I love the fact that it's open source but I don't know if the code has been thoroughly audited. Having said that I still highly recommend over a proprietary email client. 
com.fsck.k9#50131:	  Developers have done an amazing job addressing bugs. First class app. Can't live without. 
com.fsck.k9#50132:	  After recent updates, Mark read in notification does not work... 
com.fsck.k9#50133:	  I've been usinh this since the start, but the last update really need some fixing ASAP!! The attachment need to go back to the TOP not bottom, why would anyone wants to scroll all the way down just to view the attachment? Second, the loading takes more time just to read email. 
com.fsck.k9#50139:	  App has become a joke Messages take forever to load since last update they used to load instantly. New update still same problem. 
com.fsck.k9#50143:	  Authentication failed for all Gmail accounts. Installed, and reinstalled, many times, the same problem persist. Switched to other email client. 
com.fsck.k9#50145:	  Not showing notifications for mails received to subfolders. In app messages are shown as unread, but no notification appears on tray. Please fix, will be the best highly customisable mail app on market. 
com.fsck.k9#50146:	  Then stopped working. Uninstalled. 
com.fsck.k9#50147:	  After last update, the message zoom priblem has been fixed, so as I promissed, I'm ranking K9 as 5 stars again! It is the best email client for android. Thanks for fixing the issue. 
com.fsck.k9#50148:	  ([Update] It's now January 2017 and sent folder is still 100% useless! Broken for YEARS!) Works great with encryption, but please see how poorly it renders BestBuy deals email and please fix it. Also, sent folder is useless. Only shows email I sent way back in September 2012 (it's now May 2015) 
com.fsck.k9#50149:	  After latest update,page zoom out and auto fit page functions not working properly. 
com.fsck.k9#50150:	  Since one of the latest updates it crashes quite often, but DEFINITELY DOES NOT LET ME TO DELETE OR MARK READ FROM NOTIFICATION. Samsung S7 
com.fsck.k9#50155:	  Thanks for the fix.. Pls fix the bug for all attachment to show on top of message and not all the way below message 
com.fsck.k9#50157:	  Great email app- been using it for ages. Two minor issues I have: one, I'm *constantly* accidentally dragging the scrollbar in the messages list. I don't have this issue in other apps so it seems the behavior could be better. Second, in the recent update, when reading an email with an attachment, you have to scroll all the way to the bottom to see the attachments. Used to you could access them easily from the top. Hope to see this change reverted. Thanks 
com.fsck.k9#50158:	  Thanks for fixing bugs and zoom from last update!!! Back to great. 
com.fsck.k9#50160:	  Apparently fixed for 6.0.1, thanks! In search it doesn't take words, but string. Trailing space is significant so after picking word in type, must backspace. Can't compose or paste formatted text. Can attach pics, but not paste... 
com.fsck.k9#50161:	  I had used k9 for many years as there wasn't another email client nearly half as good or efficient, but the latest update has introduced a number changes that make it significantly slower to use. Bring back the "mark all read" in notification pull down, and let us disable warnings such as confirmation required to"mark all read" in main window. I think these two things will cost me half an hour a day managing my email on the go, that is 3 weeks in a year, I will check back in a few months if these are back. Update 5023 improved and fixed a few things, notification area still needs work, it's hard work trying to get the right message to show the options so you can delete or mark read when each has its own set of options and even Gmail doesn't split the options or message, change for the sake rather than good functional design, thanks for listening on the other things though. 
com.fsck.k9#50164:	  Excellent app, now fully working after latest update and a reinstall. Not sure what was causing the previous failures/IO errors. 
com.fsck.k9#50166:	  Latest update breaks pinch-to-zoom (and crashes app occasionally) and polling folders is much slower than before Whatever the "database update" did, made app interface, and retrieving and searching messages, sloooooower Motorola Droid Maxx 
com.fsck.k9#50167:	  Thanks for the zoom fix! 
com.fsck.k9#50169:	  Great email app. Infrequent updates. Slow to fix issues. Works very well and is simple while still being customizable enough to work the way you want it to. Thanks! 
com.fsck.k9#50170:	  Great app... release 5.0 had led to massive battery drain and freezing. But by 5.2, it's back to greatness, so back to 5 stars! Just waiting for zoom fix... 
com.fsck.k9#50171:	  Loved this mail app on my older phone w/ Gmail, but on my current phone I cannot get it to work with Yahoo email. I'm disappointed. 
com.fsck.k9#50173:	  Used it for years, wouldn't use anything else. 
com.fsck.k9#50174:	  Latest update fixed zooming in a message! 
com.fsck.k9#50178:	  I use it for few years already. App eating my battery in 8 hours. The problem was with trash folder. Probably bad index after the update. It was impossible to just empy the trash. I delete few of them and finally was able to emty the folder. Developers tolerate deleting more than marking all messages as read. User can disable question for deleting, but not for marking them as read.:-? I use it as last operation after read some messages. The rest is ok with just reading the subject. 
com.fsck.k9#50181:	  Pinch to zoom isn't working. Can zoom in using expanding two fingers but then can't scroll to view all parts of the email and can't pinch to re-shrink the email. Moto G4 Plus. 
com.fsck.k9#50188:	  Used to be good, butnthe new version crashes constantly, even when I am using other apps. I had to uninstall it. 
com.fsck.k9#50192:	   Great app providing speed n functionality. Never fails. As a big supporter of open source and it's ideas I recommend K9 with enthusiasm. P.S. Have you donated....? 
com.fsck.k9#50193:	  I used to absolutely love the K-9 mail app, but now it's nothing more than a frustration. No matter what settings I change, it continues to turn off syncing. Sometimes rebooting my phone will fix the problem for a short period of time, but most of the time I have to sync my mail manually. I've read all the comments on forums from other people experiencing the same problem and tried everything they suggested. Nothing changes. I really hope they are working on the problem for a future update. If it doesn't get fixed soon, I'm going to have to switch to another mail app. By the way, I have a Samsung Galaxy Note 4 with Android version 6.0.1. The version of K-9 Mail I have is 5.202 
com.fsck.k9#50194:	   Since latest upgrade the header will show up but most of the message is missing. Please fix. I've always loved this app until now. 
com.fsck.k9#50195:	   Search function and trying to read a."sent" mail results in a crash. 
com.fsck.k9#50197:	   This was a really good app but it has recently become utterly useless. I thought it was my domain having issues but checking on my PC's and other devices including checking via Gmail it's clear that it's K9 that is broken. Please fix it 
com.fsck.k9#50198:	   Too bad. K-9 used to be great but now it's glitchy, sluggish and looks and feels outdated. My Gmail accounts stop working (login authorization problem) when switching between WiFi and 4G. Yes, K-9 is rich with features but it's still awkward to use. It's just too annoying to deal with. Back too MailDroid, which is much more stable and easier to get around in... 
com.fsck.k9#50202:	   After latest update emails won't load and you can't download attachments. 
com.fsck.k9#50203:	   I can't any longer save the attachments to storage. It's the same for internal or SD storage. Please fix it asap. 
com.fsck.k9#50206:	   I have added an email account that I don't have access to anymore, but I'd still like to have the emails available. Therefor I changed the account settings to never poll the server. Since the last update this doesn't seem to work anymore. I am constantly reminded that the authentication failed. Can you fix this please?...still not fixed after last update. Will give it 5 star when problem is removed. 
com.fsck.k9#50208:	   New version has some issues with pinch zoom and its very bad idea to place link of attachment at the end of email. it should be on top as previously. Apart from that best email app . 
com.fsck.k9#50211:	   Seems the new version is rather laggy at rendering HTML. Also notifications of new emails often open a view of all the email folders rather than the email itself. Please fix these problems. 
com.fsck.k9#50214:	   Super app, no more messing about with Google Mail. Wonderful..... BUT, latest update is a disaster - cannot receive emails, I get "ssl protocol exception error". No advice how to correct. Time to move on to a different app I think. 
com.fsck.k9#50215:	   Had a slight problem with last update in that I kept getting verification errors but that seems to have cured itself. Edit: Uh oh! Spoke too soon..I just turned Blue. 
com.fsck.k9#50217:	   Email does not download email. 
com.fsck.k9#50218:	   No crashes ever until 2017 updates now crashes every 30 seconds. Cannot read a full email before it crashes. Please roll back to 2016 and test before re-updating! 
com.fsck.k9#50219:	   I have been using K-9 Mail for over 2 years due to being stuck with POP3 service on Verizon, and K-9 Mail has increasingly tended to freeze up and sometimes crash; after the update to the latest version available on January 3, 2017, it stopped working entirely. It also sometimes loses messages in composition without saving a Draft. Switched to Blue Mail, which is missing some features important for POP3, but at least works. 
com.fsck.k9#50220:	   Buttons like Mark Read or Delete no longer work properly from the Notifications. I am using app on Samsung S7 edge. Never had a problem before till now. 
com.fsck.k9#50225:	   Really appreciate it! Multi key issue has also been solved by OpenKeychain, thx! 
com.fsck.k9#50226:	   Since the last update, pinch to zoom does not work when reading emails anymore. Testing goes a long way guys.... 
com.fsck.k9#50229:	   The last 2 updates have a problem not clearing the mail icon from the andriod taskbar when the emails are read, and after the email is read and i select the mail icon from the taskbar i get an error. Its also slower to remove the number of new mail from the desktop shortcut. Galaxy S5 UPDATE: this app is becoming useless as it is not deleting or marking messages as read, i select a bunch of messages and delete them and a short while later i get the same messages back again as if i haven't seen them before. 
com.fsck.k9#50230:	  Was great but latest update has stopped pinch zoom working if it's not fixed soon will be moving to blue mail 
com.fsck.k9#50231:	   5 stars prior to latest version - now 2 stars. The latest version introduced many bugs. You can no longer zoom text. Delete a message causes app to crash. Scroll to previous message causes crash. It seems to always end abruptly. There are probably more problems, but I don't want look for them. 
com.fsck.k9#50236:	   Was working fine but now it only sometimes updates the inbox with new emails after polling and pinch to zoom doesn't work properly any more. It really only now works on text only emails. Very disappointing. 
com.fsck.k9#50244:	   I use K-9 because it's the only email app that leaves my Gmail messages "unread" on the server after I open them on my phone. This sudden inability to zoom is rendering that pointless if I can't read the messages on my phone. Please fix ASAP 
com.fsck.k9#50245:	   Version 5.202 has no way of zooming into an email. After using an earlier version of K-9 for about a year, I replaced my S4 with S7 after damage. The New K-9 ver. 4.803 does not have a way to auto wrap an email after zooming and increasing font size. Once you double tap, the old ver auto wrapped the text. 4.803 version just zooms in and out. This is key to my productivity reading emails as now I need scroll rightand leftafter zoomingto read.... and this should be fixed by the developers ASAP 
com.fsck.k9#50251:	  Latest update is hopeless. Now can't send emails from one of my accounts - UPDATE: fixed by recreating accounts, every folder had to be recreated. The new Send screen is of poor design with the contacts taking up too much room. The app now crashes every so often, didn't happen before. Very disappointed. 
com.fsck.k9#50253:	   The pinch zoom has stopped working now after new app update. Why spoil this function when it was working fine before. Also problems logging in to IMAP mail now using SSL/TSL security which I never had on previous releases. If k9 works ok before then don't fix it and mess it up! 
com.fsck.k9#50255:	   Stopped working after last updates... 
com.fsck.k9#50256:	   It's very old shool type mailing app. Though it has a lot of funtionalities, but not for me because I am a casual email checker who fails to organize inboxes with it. 
com.fsck.k9#50257:	   The latest updates have ruined this once-great app! It crashes, force-closes, and when I reply to messages all the text that I am replying to is a dark blue and cannot be seen. I even downloaded earlier versions to install, but V5.0 which 'might' fix the problem fails to see my import back-up file. So until it's fixed, we're all just stuck. WHY update an app that was working?! I'm a long-time user, but will have to switch apps if this isn't fixed. 
com.fsck.k9#50259:	  Great app. Have used it for some time. Unfortunately, started crashing every minute. So frustrating. Had to finally uninstall. Can't give higher rating until latest updates get fixed. 
com.fsck.k9#50264:	   Android 7.1.1 -- app works great when charging; syncs perfect, notifications removed from status bar when emails opened, etc. However, when not charging sync constantly disabling, notifications not removing from status bar when emails opened, etc. First time user of app and like the look and customization options however the syncing issue is a problem. 
com.fsck.k9#50265:	   Compacting account do not work any more on Xperia Z3 
com.fsck.k9#50266:	   Each update causes problems with features that used to work correctly. Now you can't pinch the screen to change the font size. Very disturbing. 
com.fsck.k9#50269:	   In Accounts when you select an individual account options pop up. I used to select "clear messages" to remove all local messages, since 2 updates ago this has ceased to work on both my phone and tablet. Appears to do so but size does not reduce. Tried to find link from K9 its self to report but end up with host Github. It would be good to be able to report errors from app without spoiling feedback for this great app. Back to 5 stars when fixed. 
com.fsck.k9#50271:	   Lightweight. Free from ads and does what I need most. But few things needs to be fixed: timeout when fetching emails, sometimes it keeps fetching. And sometimes sender name is shown wrongly. 
com.fsck.k9#50273:	  K9 somehow fail to detect cryptography app installed after the latest update. How come???? 
com.fsck.k9#50276:	   Version 5.202 cannot save any attached file in an e-mail to phone. 
com.fsck.k9#50277:	   Can't use two-factor authentication with Yahoo or Gmail. Had to stop using this app because I locked down my accounts. 
com.fsck.k9#50278:	   Crashes constantly. I also don't understand why i cannot move emails in trash (deleted in error) back into my inbox! Its just not possible and should be! In the trash can they cannot be fully loaded or replied to. 
com.fsck.k9#50286:	   K-9 is a very feature rich email client and I've been using it for years. Some bugs from time to time but nothing serious and when others have inserted ads, full screen even, K-9 has remained ad free! 
com.fsck.k9#50289:	   5 years ago I helped a coworker move over to K-9 when she had some problems with the built-in email app and a 3rd party mail server. It did a great job where the other failed and saved us all a lot of headaches. Fast forward to October 2015, when I got my first Android phone, and I'm facing a similar situation. Didn't take me long to remember K-9. I installed it on my phone and I haven't looked back. It does a great job and is very customizable. Thanks! 
com.fsck.k9#50291:	   You guys fixed an old problem, so this needed an update. Some features aren't very intuitive, but overall, very good. 
com.fsck.k9#50294:	  A complete and mature email client, the best offered in play store, never had issues with it. Developers please consider making k9mail for windows PC! 
com.fsck.k9#50300:	   I've been using K-9 for years and loved it. Unfortunately the latest releases (5.1 and up) are so full of bugs and annoying/unnecessary UI changes that it's become unusable. I don't know what new programmers or philosophy you now have but you've managed to take what was probably the best Android email client and destroyed it. Luckily I was able to downgrade to an older version and will use it for the time being until I have to find something else. For those out there who haven't upgraded yet DON'T! 
com.fsck.k9#50301:	   There are so many issues after the last update that had to uninstall the app and go to a different client. I don't have the time nor the desire to do your quality control testing. 
com.fsck.k9#50302:	   Used to work smoothly and fast, but after the latest update the scrolling and zooming inside emails are a pain. Definitely needs a fix. 
com.fsck.k9#50304:	   Like many have noted, the latest update appears broken. Main issues, for me, are account sizes now showing arbitrary large values even when completely empty & that the app now appears randomly laggy. In particular, zooming & panning are often unresponsive & are very erratic when they do respond. Shouldn't be like this in current phones like Samsung Galaxy S7. Really liked this app, so please roll back & fix issues in meantime. Looking forward to giving its 5 stars back. 
com.fsck.k9#50311:	   Roll back the update, until you have a working release. This is pretty unacceptable. If I don't see a fix or some sort of announcement indicating you are working on a fix, I'm done with this app. Worked fine for years. Now it's useless and I am most worried I have lost information I keep no where else. Shame on me for that. But greater shame on you. I'll never fully trust your app again. 
com.fsck.k9#50313:	   Attachments used to show on top of emails in earlier versions have now gone down at bottom of the thread. I am a k-9 user on android for about 5 years. Had issue with it for the first time. Kindly fix or give some option to roll back to earlier version. Thanks. 
com.fsck.k9#50315:	  Most regretful update! I have used this app for many years. So far so good until the recent two updates that failed the authentication check. Worse-still, after retrying, it ended up having one of my email accounts blocked as if it's hijacked. This happened on all my devices so I believe it's not device- or os- specific, and I believe mine is not an isolated case. I am going to uninstall this irresponsible app for good. 
com.fsck.k9#50316:	   It was working really well until the last update, now I can no longer send or receive mail and get connection errors. From the number of reviewers complaining I'm not the only one, if I were K9 I'd roll back the release before everyone moves on. 
com.fsck.k9#50320:	   Loved this app until the latest update. Now I can't connect to any servers to retrieve emails. Frustration reigns, time lost and still can't get my emails. :( 
com.fsck.k9#50322:	   Was great till recent update that crashes its database. Some emails that can be opened previously now not able to.. now even manual fetching of email become so slow and sometimes hang... :-( 
com.fsck.k9#50324:	  Worked really great for years, but the last update (January 2017) broke the auto syncing. In my accounts folder the header says "Sync is disabled" and I have to manually sync now. PLEASE FIX THIS, it has only started doing this with the latest update and makes k9 essentially useless. 
com.fsck.k9#50325:	   My go to email app. With the update I can't sync with the server and am not getting any emails 
com.fsck.k9#50326:	   Edit - Email doesn't download anymore, and it DESTROYS my battery now. Please fix this or simply pull the update. The stock Android email client was giving me fits receiving email. This free solution cured my problems and seems to work better overall. Love it. 
com.fsck.k9#50329:	  Have loved the app in the past, but last update broke some important things. This is on my Samsung 12.1 tablet. First, it no longer displays the subject line above the current message, now just the send and receive addresses. Second, zooming in and scrolling in an email is broken. Would love to go back to a 5 star review, hopefully a (tested) fix is coming soon. 
com.fsck.k9#50331:	  Nice to have an update from time to time, but "Mark Read" option on notifications stopped working, can you please look? Otherwise, keep up with the great work! 
com.fsck.k9#50333:	   Authentication of Office365 account fails even though details have not changed 
com.fsck.k9#50334:	   Was working great till last android update. No longer auto fits to screen. Lost ability to enlarge email. Please fix 
com.fsck.k9#50336:	   Used for years, but after latest update html is not working correctly in the body of messages 
com.fsck.k9#50338:	  Worked perfectly in previous versions. However, v5.201 crashes whenever one steels to view an email on Samsung Galaxy s5. 
com.fsck.k9#50340:	  It seems that v5.201 was released without much testing. It reports null pointer dereference on one of my accounts and ssl handshake error on the other plus there is annoying confirmation dialog on mark all as read which can't be switched off. Version 5.010 is working OK. 
com.fsck.k9#50341:	  It's very good but last version 5.010 is draining the battery (59% use). v5.201: can't use it. App gets stuck trying to upgrade database. 
com.fsck.k9#50344:	    doesn't display controls when reading individual emails. The version before that sucked with the 'upgrading database' problem. 
com.fsck.k9#50350:	  This is the best Android mail app. However one annoying tiny bug is that messages don't auto fit on my phone. Even with the option selected, it still does not fit (width). Not sure if this is an Android issue or with the app. 
com.fsck.k9#50351:	   Previously mentioned issue with headers turned out to be a lack of documentation. Full marks for the rapid response to the issue notification. Still some cosmetic UI bugs in each release, some that shouldn't have made it past alpha testing, but no "showstoppers". 
com.fsck.k9#50355:	   Brilliant mail app that ahead of its time lord. A small issue with the favourites starin the message list. It is placed over the message list slide so when you try to select the star the app moves the message list down the page. Forcing me to go into each message to add the star. Would be great if you could move the star over to the left side under the multi select boxes so they can be used in the same manner to avoid this frustration. Each a bit bigger would also be great for easier selection problems. 
com.fsck.k9#50357:	   Bugs reported 5 years ago, still ignored. New version, new bugs and annoyances.. Confirmation dialog on "mark as read". Epic zoom and scroll fubar. 
com.fsck.k9#50360:	   I have used this for years and loved it now with.the update I have problem with the mail format. Can't get rid of the From To CC BCC and description. It used to just have To: and Description. Anyhow I cannot fix so have uninstalled. Help! 
com.fsck.k9#50364:	   The upgrading of database still doesn't work. I have not been able to access my emails still. 
com.fsck.k9#50376:	  Used to be better. Dropping APG for a gpg solution that doesn't work was colossally stupid. 
com.fsck.k9#50382:	   Was great until the update caused Authentication failed notifications even when password reentered. Will put back to 5 stars when it's fixed as it really WAS a great app for multiple emails. Can save to SD card. Can set to auto sync or you can just manually check mail. Best I've found by far. Have been using it for ages now....until this rubbish update. If not fixed will delete. Please fix :) 
com.fsck.k9#50383:	   Fantastic quality, especially for an open source app. Minor issues over the years, usually fixed quickly. 
com.fsck.k9#50384:	   Can't access any emails or make backups thanks to latest update. 
com.fsck.k9#50385:	   The new update always gives me auth fail for gmail... 
com.fsck.k9#50386:	   2017 UPDATE (original review 2013) - For approx' 5 years I've used K9 as my main email client. The setup is still a problem, complete hit or miss. Hours are spent on forums trying to find the correct settings for accounts to work correctly. The auto settings used by the app simply do not access accounts (Yahoo!) correctly. The best app ONCE SETUP, but setup really makes this awful. 
com.fsck.k9#50387:	   Feature packed and open source, what's not to like? The only bad thing I can think of is the lame one star reviews from ungrateful and entitled pathetic losers that are not able to use the issue tracker. 
com.fsck.k9#50389:	  This is a great app. Have been using it for years. However with the last update, K9 keeps giving me (and my wife) authentication failed messages even when I re-enter passwords. I even tried changing passwords for two email accounts. The constant notifications are pretty annoying and have finally had to block k9 notifications. Is there a way to roll back to the previous update? I still give you five stars for outstanding work. Thanks. 
com.fsck.k9#50390:	  Was great until recent update. Once I open mail it crashes out. 
com.fsck.k9#50393:	   Deleting an email from the notification does not dismiss the notification. When you then go into the message it doesn't exist and errors 
com.fsck.k9#50394:	   I love the options to customize the look, the colors, dark theme. Have used for several months without one problem. I have several accounts and so easy to get all my messages in one app. UPDATE 12/3/16 I had to uninstall this app. It will only fetch and send emails for 2 out of 3 of my accounts. I downloaded a different email app and I get all my email. I wrote to the developer twice for assistance and got no reply. 
com.fsck.k9#50395:	  Excellent email app . It has never failed and is easy to use. Does exactly what it says it does. 
com.fsck.k9#50398:	   Crashes trying to delete IMAP messages every time. Although It is the ONLY app I found capable of sorting messages and showing Internet headers, the reliability of some of these advanced function is only so-so for large numbers of messages (10k). Sorting by sender does not appear to work at all and sorting by date (sent) vs. received date only sort of worked. So overall a bit disappointing. 
com.fsck.k9#50400:	   Latest update fixed it ... Many thanks for keeping on top of this ... SGS3 
com.fsck.k9#50403:	   Cannot use with new Yahoo secure sign in. 
