com.frostwire.android#180028:	  I love it, it's a awesome app an you get alot of music you CAN'T find anywhere else.... 
com.frostwire.android#181267:	  I love this app honestly,one of the few that I found that I can download all the music I want. But the only problem that I have is that it hasn't been letting download music recently. I keep looking to see if it downloaded the song I wanted but so far nothing. I hope this fixes soon. 
com.frostwire.android#181268:	  It was working great but now it won't download anything. I'll still rate five stars but I wish I could download again. 
com.frostwire.android#181281:	  I've used it for a year now when I pull up the music which I can still find it won't download it says 0/0 and wait and wait to get no download!! I know it's not the internet cause I have great high-speed and I even tried it on my 4g side of it . I still get nothing!! 
com.frostwire.android#181288:	  This app sucks couldn't find anything 
com.frostwire.android#181289:	  It does not download, please fix and will rate 5 stars 
com.frostwire.android#181291:	  Just downloaded frostwire. I downloaded 1 song without any problems, fast search fast download. Now it won't let me download anything else. The songs are just sitting there waiting for downloading to start. Very frustrating! 
com.frostwire.android#181296:	  Garbage it don't find anything it is garbage 
com.frostwire.android#181300:	  Links no longer downloading and have latest issue. The last three files I tried to download will not work. 
com.frostwire.android#181306:	  I just could not get it to work 
com.frostwire.android#181307:	  It's sort of stupid cause you'll download a album and u can't download any others it's ridiculous 
com.frostwire.android#181313:	  Great app thanks for fixing giving me notice didn't know that. Just was needing some more tunes to Jam to. Have used this app Alot still be thing I rely on. 
com.frostwire.android#181318:	  Can no longer download anything anymore, please fix 
com.frostwire.android#181331:	  Files are not downloading, i like the PC platform best 
com.frostwire.android#181333:	  Connection status randomly switches off. Some active transfers don't even show up. Long press doesn't work on files making it difficult to pause /resume. Randomly pauses transfers. Incredibly frustrating. On top of everything, sadly this may still be the best torrent app! Galaxy s7 edge 
com.frostwire.android#181334:	  It is very useful but some songs don't download 
com.frostwire.android#181338:	  Couldn't find what i wanted 
com.frostwire.android#181347:	  Can't download anything 
com.frostwire.android#181356:	  Its a good torrent DLer but until the bugs are fixed I will stick with free version!! 
com.frostwire.android#181357:	  Great app, but songs not downloading. Maybe it's time for an update? 
com.frostwire.android#181358:	  I never had any problems. Love the variety of music. No glitches. Love it!! 
com.frostwire.android#181365:	  Some music won't download, just says fetching torrent and nothing happens... very annoying. Would be great apart from that. 
com.frostwire.android#181366:	  I'll find a song and click to download but it just won't download, it's disappointing. You can't always find the right songs and when you do it doesn't even work. 
com.frostwire.android#181373:	  It won't download any music any more 
com.frostwire.android#181379:	  It isn't working anymore 
com.frostwire.android#181387:	  I really like the app it was reliable for around the first 4 months I was using it but now whenever I try to download anything it just says downloading and does nothing, if you could maybe fix this bug and return the app to what it was like that would be great 
com.frostwire.android#181399:	  It was hard to control and it sucks don't download 
com.frostwire.android#181400:	  Ok so it had a bug problems is that why it wouldn't download anything that I was looking for and waited for days for it to download but wouldn't? I hope you got it fixed this time 
com.frostwire.android#181407:	  This app sucks. I was able to download one song, then after that, nothing else will download. It suggested using a VPN. Acquired. Still won't download anything else at all. Zero/KB per second, man. Nothing. 
com.frostwire.android#181412:	  I liked it but then it stop download songs for no reason like I have good WiFi and it don't work why!? 
com.frostwire.android#181420:	  I CANT DOWNLOAD ANYTHING. FIX THIS!!! 
com.frostwire.android#181428:	  When I first started using this it was great now it has updated and won't download any of the files I want it is ridiculous please fix this! 
com.frostwire.android#181433:	  I need help. Ive been using Frostwire for 5 years now, and Im having problems right now. The file/s i choose isnt downloading at all. I have great net connection. What seems to be the problem? Help 
com.frostwire.android#181434:	  I used to love it but now when I want to download something it doesn't download at all what gives 
com.frostwire.android#181443:	  Its not working. Not downloading. 
com.frostwire.android#181444:	  It wont let me download anymore. I had perfect WiFi Signal and It still said "error: Moving Incomplete". Still terrible and will always be trash 
com.frostwire.android#181450:	  Working fine for films, music and everything THEN TODAY NOTHING, Cant download anything, PLEASE HELP, REALLY CANT FIX IT / HELP 
com.frostwire.android#181468:	  Didn't work 
com.frostwire.android#181476:	  Doesn't download music..... 
com.frostwire.android#181485:	  can't download torrent since the update. 
com.frostwire.android#181521:	  Doesnt even show songs that were searched anymore. Only videos. Videos do not work neither, are you all going to fix this problem!!?? EDIT: There was a update, Fixed everything lol, Good Job Frostwire! 
com.frostwire.android#181526:	  There was a couple weeks where I couldn't download originals of most songs, only obscure mixes, covers etc. But frostwire fixed the bugs and it's working great again. I love this app. 
com.frostwire.android#181528:	  was working great. even though I still have the app it has deleted some of the files and now the app won't download anything. help !!! 
com.frostwire.android#181535:	  I listen to songs on Pandora that I look them up on this app and the app can't find the songs 
com.frostwire.android#181551:	  Wouldn't download ANYTHING!! 
com.frostwire.android#181554:	  Nothing works for me when I attempt to download. It shows that it is downloading, but no progress is made. Download speed stays at 0, so nothing ever gets downloaded. Uninstalled, because it does not work for me. 
com.frostwire.android#181560:	  Nothing will download. It says it's "downloading" but it doesn't download 
com.frostwire.android#181563:	  Won't download 
com.frostwire.android#181566:	  Could not find any songs. It would pull random artists when I would search for Lil yachty. Trash app don't waste your time. 
com.frostwire.android#181573:	  No download 
com.frostwire.android#181574:	  Won't download nothing it'll just fault out 
com.frostwire.android#181579:	  Used to love it, now it won't work. I've uninstalled and reinstalled it many times and it just stopped working. It says it's going to download songs that I can still find then never downloads. PLEASE FIX THIS!!! 
com.frostwire.android#181599:	  I used to really like this app, but lately, When I go to search for songs, I get nothing but SoundCloud versions. I want the original songs, not covers. Please fix this!!! 
com.frostwire.android#181605:	  It's not great. Can't find a single song I searched. Useless 
com.frostwire.android#181607:	  Ok I just put 5 stars to get to the top but I just searched something up but it's like in a different language/covers and I was like what?????? JUST DON'T DOWNLOAD EVEN THOUGH IT SHOWS SONGS IN DIFFERENT LANGUAGES IT DOESN'T DOWNLOAD ONTO UR PHONE 
com.frostwire.android#181609:	  Started off fine but all of a sudden it won't download songs anymore. Waste of time. 
com.frostwire.android#181635:	  This app was amazing until the last update. Now I can't download any songs just music videos. Will rate 5 stars once this is fixed. 
com.frostwire.android#181640:	  Awesome app, and they have really cool swag for sale on their website, I was impressed with how fast I received the items I purchased! Just wish my downloads didn't end in errors so often. 
com.frostwire.android#181659:	  I'm just going to say I used to love this app. Since the new update I can't find any music I want. Just a lot of covers that sound horrible. What happened to being able to have the audience from YouTube videos? 
com.frostwire.android#181660:	  Okay guys so again I can't find songs I'm looking for and I know something is for sure wrong because I'm trying to find a song that I once had on this app! I keep getting results that aren't even relatively close this needs to be fixed. 
com.frostwire.android#181661:	  Trash doesn't load 
com.frostwire.android#181663:	  Nothing works now u can find music but it won't download anymore... Wtf 
com.frostwire.android#181666:	  S7 6.0.1 works perfect good job . To the people that complain that "it sucks" as a app dev people don't put their time in to making a app that doesn't work if you are having a problem ask the creator for help there are a lot of variables with all the different phones and s/w builds 
com.frostwire.android#181680:	  Can't find the songs I am looking for. Lots if ads. If you are looking for rnb music's not the app to use. 
com.frostwire.android#181681:	  The search bar I'd fuc**d fix or or else i will be pi$$ed 
com.frostwire.android#181686:	  Great when it works, but unfortunately that isn't very often. Most music I like isn't available on the app, and even if I did find an album, most times it wouldn't download properly anyway. Now, that would be okay with me, but instead of just deleting the broken files from my phone, it instead keeps them and makes them impossible to delete from my storage. I've got so many broken songs and files cluttering up my phone now, and I have no way to delete them because they're 'stuck' on my phone. Very, very infuriating, and it really makes my music selection untidy. Will not be using your app again. 
com.frostwire.android#181692:	  I can't download anything from YouTube or other sources for movies and music 
com.frostwire.android#181715:	  Doesn't work all the time 
com.frostwire.android#181725:	  I love it...just a little problem...for seeding...too slow...plsss...fix that... 
com.frostwire.android#181726:	  Initially it worked well. Could find most of what I looked for, although i had to weed through a zillion covers first. Unfortunately, I have to go through a thousand hoops to close the app. And now, there is nothing but covers. And, if I delete the app, I lose the music. So, yeah, it's good at first, but idk if it's really worth the hassle and memory it requires Response - whenever I click exit I MUST watch the ads that pop up or the app will not close. And, that is ONLY after I've done this at least 3X. Sometimes as many as 7X. So, when I am trying to conserve battery it is EXTREMELY irritating. I don't use an SD card. I have lots of storage on my phone, no need for it. Other apps download the music to my phone. This one doesn't even let me move the music over to my mp3 player. It's weird. And annoying. I'll look for an update, but idk if I want to open the app again. It takes sooooooooo long to shut it down 
com.frostwire.android#181748:	  Sometimes its work but sometimes doesn't work!what's the problem buffer can fix this problem a buffering situation.? 
com.frostwire.android#181760:	  it's really gay because you can't get the full song. I tried to get Caroline and it did not get the full song 
com.frostwire.android#181779:	  The songs will not download anymore. It used to work fine. Please reply and I will Rate 5 stars if problem is fixed 
com.frostwire.android#181801:	  Well I have this on my galaxy but now I have IPhone and I can't find the app on there 
com.frostwire.android#181828:	  Always been my to go to music downloader Only issue I have had with FrostWire is the fact that it can be misleading when purchasing the ad free version $5.95 for a year no in reality it's $5.95 for a year with the price of payment of that per month maybe fine print that a little better cause when I was receiving ads after first month payment I'm wondering wtf Other than that another thing is you guys could used a volume booster of sorts on your equalizer which doesn't really work well Also maybe when ppl download music you guys can find the cover art for the album's or tracks Food for thought I'm a Loyal Fan been team FrostWire for Years, just a couple of things to still iron out 
com.frostwire.android#181837:	  Worthless App, I couldn't download not even 1 song. 
com.frostwire.android#181871:	  CAN'T FIND ANY MUSIC WHATSOEVER SINCE LATEST UPDATE!!! FIX OR LOSE ALOT OF USERS!!! 
com.frostwire.android#181873:	  CAN'T FIND MUSIC SINCE NEW UPDATE 
com.frostwire.android#181878:	  Couldn't download crap 
com.frostwire.android#181892:	  Doesn't download 
com.frostwire.android#181895:	  Love it, but it gets annoying when you press exit, watch a commercial and it doesn't close, have to press exit again and see another commercial before it finally closes. Annoying. Please fix. 
com.frostwire.android#181909:	  Recently updated it, and now I don't get anymore YouTube links for songs, so I do not get the search results I used to get and won't let me get what I'm looking for 
com.frostwire.android#181913:	  If you unistalled it will erase all of the music you from it even if is your music library already it doesn't work anymore 
com.frostwire.android#181915:	  The best app of life. If I didn't download this then my life would be bad 
com.frostwire.android#181954:	  I just tried it,it doesn't work at all, garbage 
com.frostwire.android#181966:	  Can somebody answer me? This app is no longer working properly. Whoever is in charge of this app fix the damn problem already! 
com.frostwire.android#181974:	  won't find anything. woukd give it a minus rating if I could. 
com.frostwire.android#181981:	  I can't download music from YouTube. 
com.frostwire.android#181985:	  It always says error when I'm downloading a music. 
com.frostwire.android#181991:	  horrible kept crashing 
com.frostwire.android#182008:	  Easy to find songs that u can't find any where else but, Need to a 21 Savage newest songs and others that are missing 
com.frostwire.android#182010:	  i used to love this app because it worked perfectly fine on my Samsung 4, but i just bought my S6 Edge and it doesn't download anything anymore. please fix or something. 
com.frostwire.android#182012:	  Can't find song I'm looking for used whole title of track keeps receiving error try fewer words only typed 3 words I title I paid 6 bucks for no ads I expect to receive my money worth can't do that if can't find songs I'm looking for 
com.frostwire.android#182026:	  Didnt work. Couldn't find a single song, kept saying no matches. 
com.frostwire.android#182027:	  It is good app but it still some problems with it when I open other app then I check for download on frost wire the transfers page disappear for appearing it I have search again same movie I have to download again the page appears I hope fix this problem soon 
com.frostwire.android#182035:	  This app was great but since update it no longer works it won't download anything h811 LG G4 
com.frostwire.android#182037:	  Still not working. Program does not terminate. It still starts on reboot without notification. Deleted downloads start redownloading. What crap. Think you need new competent tech staff. Fire everyone. 
com.frostwire.android#182039:	  Worked one time, now will not download anything and doesnt have any of the music im looking for. Was honestly excited when it first worked as i cant seem to find a single downloader that works on my phone but like i said ive been waiting 2 days for one 40 MB file to download. Not even 1% yet. So overall pretty bad experience with this app. 
com.frostwire.android#182040:	  Easy to use...and actually free! There are several songs I can't find....but I am happy with this app! 
com.frostwire.android#182049:	  Can't find anything 
com.frostwire.android#182060:	  Did not work at all 
com.frostwire.android#182063:	  You guys need to fix the search engine. Everytime i try to look for a song on the music icon thingy it always says "use less keywords" and it only shows the downladable videos which is not what i need. I need music to download to my play list PLEASE FIX 
com.frostwire.android#182070:	  I can't find all the songs 
com.frostwire.android#182071:	  I can't get YouTube downloads anymore!!! What happened with this new update. I'll have no choice but to uninstall if this doesn't get fixed 
com.frostwire.android#182107:	  Phone started acting weird , after download , it kept showing it was active even after I would stop running it. So I just decided to delete It. had every song I looked for sadly it drained my battery within a hour. I don't recommend it. 
com.frostwire.android#182113:	  What ever happened recently...I dont know but now when you search a song you don't get a youtube version of it or at least one that isn't a video, but instead of getting that I get a bunch of fake songs that are not what I'm looking for. Please update and fix this 
com.frostwire.android#182120:	  The latest update screwed up the YouTube audio. I have frostwire plus. Please fix. This was by far the best music App 
com.frostwire.android#182121:	  I enjoy it haven't had any problems with it 
com.frostwire.android#182149:	  Found a song but someone Used it to bully someone will not use this app again until that is addressed 
com.frostwire.android#182160:	  Having issues downloading frostwire plus I did what it said and still don't give me music from youtube only SoundCloud 
com.frostwire.android#182162:	  Deserves a better rating. Can't really think of any issues that aren't worth the overall quality of Frostwire. 
com.frostwire.android#182203:	  I can't download half the songs I want 
