com.ichi2.anki#170004:	  Someday After updating the Anki crashed 
com.ichi2.anki#170446:	  Best SRS (Spaced Repetition Software) app. Bad reviews probably didn't get that the app doesn't include any ready-made flashcard deck, so the shared decks are made by users (that's why some may contain errors). There are great shared decks though (at least for japanese I've found great ones), and in any case the best way to use this app would be to make your own flashcards. 
com.ichi2.anki#170453:	  The function red marked line of duplicated card is not work correctly ( in particular for old added cards, maybe after cards import ) 2. Sometimes cards are not refreshed in the card browser (after adding card) 
com.ichi2.anki#170456:	  Have I missed something ? I read a lot of good things about this app so I wanted to use it to practice my chinese with flash cards. There is very little content and the only stuff I got has some errors in it / poor quality. I assume I'll have to continue my search for a great chinese flashcards app. 
com.ichi2.anki#170468:	  Terrific app! Thanks to all who work on it. Two small requests: 1. The language I'm learning uses three fairly obscure characters:   . These show up fine on the desktop version, but render as blank spaces or a ? on the app. These misrenders then get synced back onto the database. Is there a chance this could get fixed, or should I go ahead and find alternate characters to represent them? 2. One of the advantages of a mobile app flashcard system is that you can easily create audio flashcards in the field. The current app requires five touches to record audio (+, Add, paperclip, record audio, RECORD). It would be great to be able to do this in fewer steps, though I realize that might not be possible without overcrowding the interface. 
com.ichi2.anki#170487:	   Ever since new update on June 14th, whenever I record audio, playing the play button does nothing. When editing each card and trying to play the audio, it will fail. However, the audio can be heard when studying the card. This makes it very inconvenient for users to know if the recording succeeded 
com.ichi2.anki#170506:	   It can't run on my lg g2 after i upgraded to android 5.0.1. Please check error! 
com.ichi2.anki#170519:	   I simply can't love you enough. Guys I'm having crashes with the latest version 
com.ichi2.anki#170524:	  This app is the most useful helpful thing I have ever found in my entire life, no joke Without this app, I'd be failing my exams because I've ended up making over 1000 school flashcards and I'm relying on anki for those good grades It's just so much easier than making real life flashcards 5/5 
com.ichi2.anki#170532:	   Sync but more importantly the pictures from the advanced editor work again. Very happy. Fantastic app and great dev team! Update: I haven't used anki in quite a while and recently started it back up and couldn't seem to be able to add pictures from Google/search in the advanced editor. Was this feature dropped? I really hope not as that was an extremely useful feature and would love to have it back in :( 
com.ichi2.anki#170540:	   This application will not open at all on my android phone. 
com.ichi2.anki#170593:	   It was a great app, but now you can move the app to SD card, yet all media files will stay at your device! Don't understand why other apps don't have this problem. With some apps you can't move them and still can set them to save all files at SD card. Useless to me until problem will be solved. 
com.ichi2.anki#170608:	   kindly fix! i badly want to use this app. Thanks a lot  
com.ichi2.anki#170613:	   Tried to import .anki files, didn't work, kind of dumb when your apps name is AnkiDroid, no? Only .akpg is allowed. The developer's comments made clear why it did not work, however backwards compatibility might be more helpful than a guide on how to convert the old format to the new one. This particular deck I could not find in any other format, and converting was honestly not something I had thought of. 
com.ichi2.anki#170622:	  Most of the image files don't load on phone even though they are working properly on the desktop version. Please fix. Thank you. 
com.ichi2.anki#170628:	   Tablet won't sync to decks made on the desktop program and phone won't sync because the time isn't in sync down to the second 
com.ichi2.anki#170639:	   The only problem I have is that reminder (about more than 10 waiting cards) doesn't appear until app is launched. Can this be fixed or workaronded? Android 5.0.2 (Xperia ZR). Yes, AnkiDroid Widget should be added to desktop (thanks to support!). 
com.ichi2.anki#170647:	   Not sure if it even still applies to this version, because I deleted some of my more useless media files long time ago, but it used to have some limitation on number of media files (something to do with either Android or some types of storage iirc, which only allows you about 40,000 files (not sure if this was the exact number) in one folder), which could be easily fixed by Ankidroid creating additional media folders when you reach the maximum number of files per media folder. Apart from this, great app. 
com.ichi2.anki#170651:	   , but sometimes audio cards don't work 
com.ichi2.anki#170652:	   Says connection error or file is too large, but it's not... 
com.ichi2.anki#170662:	   Small widget doesn't work in android 6.0 LG G3. I mean it doesn't show untrained words. 
com.ichi2.anki#170666:	   daily notification not working. It will notify me about card due if I open it once a day. Sometimes I forget to check the app and there are so many cards remain due please fix it. 
com.ichi2.anki#170669:	   Can't use it to learn Chinese, Japanese or any other language that doesn't use a traditional alphabet. 
com.ichi2.anki#170671:	  Can't sync files from Android phone to Apple desktop. Overall, the synching interface is very old school and kind of tedious. 
com.ichi2.anki#170676:	   I got a new phone and after a couple of days I wanted ankidroid but when I got it my previous data was nowhere to be found. Please help soon or I might be really upset with you guys. I won't mind if my data isn't saved I'd just like it to recognize my decks from my sd card like before. 
com.ichi2.anki#170687:	  I've been a user of Anki since '07 or so. Ankidroid does what I need, it doesn't annoy me or crash, and is pretty easy to navigate and use. It brings the full power of SRS to mobile devices, so I can study anywhere, all for free. I'm truly thankful for the team that created and updates it voluntarily - you guys rock! (Edit: the version as of Feb 2016 is even better, I'm loving the improved UI!) 
com.ichi2.anki#170694:	   Gestures (taps in certain areas on card) often don't work and I'm forced to tap the buttons to get to next card where it works again. 
com.ichi2.anki#170701:	   Upon opening, get wheel of death and nothing appears. On a menu selection, keeps saying ankidroid directory is inaccessible and then crashes out. 
com.ichi2.anki#170722:	  Sound problems and decks disappear! 
com.ichi2.anki#170741:	   I had high hopes for this app to learn Spanish. But extremely time-consuming and confusing to learn how to use. Terminology used is unclear, not user-friendly. Ex.: 'study' would be more clear, obvious and accurate than 'review'. Review means to see again. It implies the material has been seen before and is a more cursory exposure to the material. I also can't remember where various features are: must search endlessly. Too complicated to learn. Descriptions too technical,nerdy.Optional pop-ups would help. 
com.ichi2.anki#170765:	   I use this app every day, never had a problem. 
com.ichi2.anki#170777:	   Idk how I feel about this. Its good but my saved cards on last for 3-5 days before it restarts itself. It keeps crashing. If it woyld stop doing that then it would have a 5 star 
com.ichi2.anki#170780:	  Can't edit decks properties since the material update. EDIT: thanks for pointing me to the doc but I know how to edit deck properties, it just crashes. After a few more tests I realized note editing is also very buggy. If I want to edit a note, after pressing the tick button it says that the app crashed, it restarts and my edition was lost. EDIT2: checking database did not work. The edit note crashes when editing it WHILE IN REVIEW MODE, don't know if it helps. 
com.ichi2.anki#170786:	   Love the dark theme, but screen flashes white when going between flashcards. Please fix! 
com.ichi2.anki#170788:	   When I click on atach file or advanced edit mode.. The app crashes immediately 
com.ichi2.anki#170805:	   I downloaded a deck but the audio is not working on my phone. how do I fix this? 
com.ichi2.anki#170808:	   The app works well for language learning. I would give it 5 stars but I can't because I couldn't find an option to change font size in font settings. I do it in edit decks and change numbers in codes. I don't understand why it is not available, though manual says that there is font sizes option in settings. Overall the settings could be organized better. Another issue, I couldn't flip sides of cards, when for instance I want to see Chinese characters at first instead of Pinyin. Please fix them. 
com.ichi2.anki#170812:	   Love anki, love this app. By far the best most customisable flashcard app out there. I've literally spent 40+ hours designing, building, and redesigning decks for my study of Amharic. I even use the card browser as my own personal dictionary. You will need the desktop version as well if you plan to build your own decks. My previous review citing a "notification bug" turned out to be my misunderstanding of the widget. 
com.ichi2.anki#170828:	   I use it daily. It has never crashed, not once. Updated regularly, syncs flawlessly over every single device I own. New beautiful design. Hundreds of useful add ons. This is by far the best app for learning that has ever been created. 
com.ichi2.anki#170831:	    update, fixed everything I didn't like. Anki is the best program to quickly and efficiently learn new topics. 
com.ichi2.anki#170832:	   This app used to work fine, but ever since the major UI update, it's a complete train wreck. It takes over a minute for the app to start despite the fact that I've disabled automatic synchronisation etc. Half the time, the app won't come up at all but crashes outright. I appreciate the work and effort that went into these updates, but it would have been better to test this code a little longer before releasing it. Its current state, the app is virtually unusable. 
com.ichi2.anki#170836:	   Auto-sync sucks too, why not sync on background while I'm learning stuff? 
com.ichi2.anki#170845:	   The new version of Anki looks great. However, type in cards are not working properly. Whenever I touch the box to type, the keyboard pops up over the box and I'm unable to see what I am typing. Also, scrolling is not smooth like last version. Please fix this. I have edited my comment because the problem is now fixed. Anki is the best flash card app developed by the best team in the world. :) 
com.ichi2.anki#170848:	  Such a huge learning curve to use this. Really could not get it to work. Too many versions out there. I would rather make paper flashcards. Subscript: Mine stopped working. 
com.ichi2.anki#170859:	   I liked this app, but since the update it produces an error and closes immediately. I cannot send a bug report, because the program won't open to get one. 
com.ichi2.anki#170870:	  Thanks ! I used the previous version of ankidroid and my collection's format is ank2 and in the new version collection's format is apkg. So I cant import my cards into program , how can I fix this problem? 
com.ichi2.anki#170873:	   Before the update I was able yo upscale the font no problem for reviews, but now I can't and it's very hard to see Kanji. I'll up my rating if this is fixed but as of now I have to have my nose to the screen, practically. 
com.ichi2.anki#170876:	   I like new design, by the way, the app is great! But there was good statistics about how many new and review cards has a deck, I can't find it now. :( 
com.ichi2.anki#170880:	  New version is a lot slower than previous ones. If u omit that problem itsr still great as it was. 
com.ichi2.anki#170884:	   I can't do anything without it encountering a problem and sending an error report. It was always sending an error report. 
com.ichi2.anki#170891:	   General settings are not accessible (bug that stops program); therefore I cannot access the longtime awaited auto-synch functionality. The coloured answer buttons look childish and are distracting, against the minimalistic clean interface that was distinctive of this app. 
com.ichi2.anki#170896:	   It's a good application to learn every thing you want. Ofcourse it has some problem, specially in randomization of showing the notes. But still it is one of the best. 
com.ichi2.anki#170915:	  bug with the newest version. 
com.ichi2.anki#170932:	  BUGS: 1. exporting a deck resets this deck's local settings 2. "new cards in order added" setting makes user at first learn words the last ones that were added to the deck instead of the oldest ones, that are supposed to be easier to start with HOW TO create a new deck with switched direction of learning (front with cover)? 
com.ichi2.anki#170933:	   The browser button crashes the app every time. In need of an update 
com.ichi2.anki#170934:	  My cards are all gone now. it's a great app but pls fix 
com.ichi2.anki#170937:	   everytime ive tried to anything more complex then using the basic function of the app it has without fail cocked up massively, most recently it succesfully deleted all cards in my 3000 card deck when trying to sync and now refuses to import the backup i made. honestly, the best feature of anki is the decks and they are user created. if i could use the decks in any other software, i would. 
com.ichi2.anki#170938:	  I love anki, but this app have bug 
com.ichi2.anki#170940:	  Unfortunately I didn't get on with this app - it's ambitiously featured but too complex for me. I just wanted to review decks when I wanted not when the app allowed me to. I couldn't access them, it kept telling me that study was up to date. There was an option marked custom study but it still wouldn't let me access them. Then they sent me an email complaining that I wasn't using it enough so they were going to delete my account. That was the end of that. Thank you open source team for responding and I've read your link, which seems to echo my comments exactly. I was indeed frustrated, not wanting or being able to use spaced repetition because I just wanted to learn flashcards during random down-time. 
com.ichi2.anki#170942:	   I started using it on pc first, then on mobile. I just can't find any flaw to it. I JUST LOVE IT!! 
com.ichi2.anki#170943:	  Getting really sick of randomly getting prompted to log in, just to get an error that my (correct) login info is wrong. 
com.ichi2.anki#170949:	   Absolutely fabulous, I love learning languages with it. Two minor problems prevent it from having five stars: statistics are a bit too complicated but they don't show all relevant info, and it is quite a steep learning curve to get the most use out of it. 
com.ichi2.anki#170961:	  Love this. But I'm having a problem adding picture, sound, and text to cards. AnkiDroid card editor only lets me add one type of answer on the back (Basic card version). It will display multiple answer types on cards made on the Windows Desktop software. Would really love to be able to add cards from the Android version with multipe (sound/picture/text) answers! 
com.ichi2.anki#170963:	   For some decks I want to learn in the deck's natural order, but for others I want a random order. At the moment when you change the order of a single deck it seems to affect all installed decks - even though the setting is found within deck options - so you have to reconfigure it every time you switch between decks. In fact, in spite of doing this, it is now giving me cards from the wrong part of the deck. I wish there was some way you could fix the cards it's giving you if it somehow goes wrong like this. 
com.ichi2.anki#170973:	   I love this app . simple and great for studying but the problem is if you have a large database on sd card and an unrooted Android 4.4 or 5 since this app don't have write access to SD card it will keep crashing while trying to write to SD card. I had to downgrade my Android just for this app. 
com.ichi2.anki#170975:	  Crashes in Marshmallow 
com.ichi2.anki#170977:	  My life pretty much revolves around this app. I spend hours on it daily adding and reviewing cards. Anki has all the features I ever need to use and has never crashed on me for the 2+ years I've used it. My only question is... will you guys ever change the logo? 
com.ichi2.anki#170981:	   Wouldn't download. Just kept stopping. Nothing wrong with my connection as downloaded all other apps fine. 
com.ichi2.anki#170992:	   This is a very good basic flashcard app. It's not flashy or very customizable but overall dependable. The only issue right now is that the app crashes when I try to start a custom study session. Please fix 
com.ichi2.anki#170994:	  Sort out the bugs before you publish it 
com.ichi2.anki#170995:	  Fantastic app! Very well made, super useful! Have never had a problem with it. It's wonderful! Thanks to the team who made it! 
com.ichi2.anki#171000:	  I didn't get it. I started with my collection, added two words, wanted also reversed form. Reverse is not as attribute, it adds new words (?), but in the list it shows A-B A-A C-D C-C ?? When I open A-A I see A-B. What I expected is A-B B-A C-D D-C. The study didn't work better. 
com.ichi2.anki#171002:	  You'll spend as much time trying to set up this app and to work around all the bugs as you'll actually spend learning your target knowledge. It's highly customizable and all that, but it's almost as if the developer has made it as infuriatingly difficult as possible to set up and use. Something as simple as a 'Browse' button to change the import (sorry, the "collection") path, for example, would make things so much easier. Instead, you need to type it all in, and it's even CASE SENSITIVE, for God's sake! It's like pre GUI nostalgia or something. There's no rhyme or reason to it. Audio files don't sync. The list of problems and flaws is endless. Potentially, a wonderful learning tool, but actually barely usable. 
com.ichi2.anki#171008:	   This app helps me not forget the foreign languages I have been studying! 
com.ichi2.anki#171026:	   Great and amazing app ! One recommendation: on the night mode it switches not just the white with black but also other font colors. For example: the Red becomes Turquoise, Green -&gt; Purple. That color scheme change affect the memorization because a lot of the time, different font colors carries additional information. Just use the algorithm that changes white to black while keeping the other colors intact. That would work great. Please fix. I will give 5 stars right after that update :-) 
com.ichi2.anki#171034:	  Would not late me download. Error 921 
com.ichi2.anki#171037:	   I like it and want to use it, but crashes every few flashcards. Please look into this. I would like to give 4 stars if not crashing! 
com.ichi2.anki#171055:	   Much improvement since I first got it way back when. Still some confusing interface issues, but features more than make up for it. 
com.ichi2.anki#171066:	   I am using this to study Greek. When I use the computer app, it works well, but the android app syncs the Greek words incorrectly by leaving out certain letters in the middle of words making it impossible to study. Please fix this or tell me what I'm doing wrong! 
com.ichi2.anki#171097:	   As other have stated, it's a great app and a very powerful tool. The only issue I'm having is that it doesn't notify my when cards are due. I'm very used to this from my Wanikani apps and it means that my cards that are due to be reviewed will be reviewed late, possibly interfering with the SRS process. Notifications don't appear unless I've manually opened the app, even if I hadn't closed it since last opened. I also wish it was a bit prettier and more motivating, like Wanikani somehow is. 
com.ichi2.anki#171099:	   Except when I work flashcard the edit is not saved ultimately. 
com.ichi2.anki#171101:	   I can't seem to point it to my /storage/extSdCard/AnkiDroid location for SD card storage. Is there a known bug? I sent the crash report. 
com.ichi2.anki#171102:	   For about 2 years I've been using SuperMemo, and struggling with incompatibilities, bugs, complications, non-portability, etc. This app's a wonder. Now I can truly say I can (almost) "forget about forgetting." ^_^ 
com.ichi2.anki#171105:	  Only issue is I wish there was a solution to the maximum number of media files issue in the Android file system 
com.ichi2.anki#171114:	   I love the app but once I've opened it, my battery is rapidly drained on my S3 even if I close the app afterwards. I've seen a few people post with this problem but have yet to see a solution. 
com.ichi2.anki#171121:	   Too bad, used this app for a long time, but it no longer works. Crashes on startup even after reinstall 
com.ichi2.anki#171129:	   I haven't had any problems at all, great to learn, doesn't use much battery, all the images look great. Best way to practice and learn on the go 
com.ichi2.anki#171185:	  It is not good. It doesn't work. 
com.ichi2.anki#171192:	   Thank you for fixing my audio problem. Great work. Help me learn Mandarin a lot! 
com.ichi2.anki#171197:	  Life saver app, but... It doesn't notificate how many cards I have due unless I open the app. What good is that? Also I keep deleting notes with audio and image but the space used by ankidroid in miscelaneous storage doesn't get smaller. The same thing in ankiweb, my space there doesn't get smaller even after synchronization. 
com.ichi2.anki#171201:	   Using for more than a year and With the latest update, all small issues too has been fixed!!!! 
com.ichi2.anki#171205:	  When I first used Anki, my different devices would not sync up with each other even though they were listed as supported devices. But now my devices happily sync up my custom and shared decks, so I have no complaints- it's fast, convenient, makes learning make sense, and gives you more types of feedback on your studying than any other program. I love it. The online version has a prettier interface than mobile and PC, but I still love the system. 
com.ichi2.anki#171220:	   There is a strange error message saying that phone is 302 seconds off and it's not syncing 
com.ichi2.anki#171230:	   Simple and useful, but I'd really appreciate the ability to search and review cards at my discretion. In using this as a study tool, if I can't remember something that I know is in certain card, I like to be able to search for that card and go through it whenever I like. Instead, when I search for the card all I get in the answer is a scramble of code. Fix this and I'd happily pay good money for the app. Cheers! 
com.ichi2.anki#171231:	   Have been using this for years and haven't had any issues. 
com.ichi2.anki#171244:	   It doesn't matter what you're trying to learn, this app and the method it uses just works. It doesn't matter how bad your memory is, this app will fix that. The best part is that it's flexible; you can study as little or as much as you like to fit even the busiest schedule. At times, it doesn't even feel like you're learning, but you are. It's impossible to not learn and master something new when using this app. 
com.ichi2.anki#171273:	   Sync broken with latest version. Gives an error message at start, and only works with a new collection. Sync fails near 55000 kb transfered. 
com.ichi2.anki#171291:	  This is an amazing app but sync fail problem still exists. 
com.ichi2.anki#171306:	  It was great until it would not let me study the cards when I want regardless of what I did in the settings. It also stopped ,etc from looking at any flashcards that I made. I could not use them when I needed to. 
com.ichi2.anki#171310:	   ...none of the packs I want will download! I've tried each one several times and everytime I get the "Download failed" notification 
com.ichi2.anki#171318:	  Im giving five stars because this app was extremely helpful for quickly and easily learning new things. However, I installed the app on my new phone and there were problems: I could only add cards to the default deck and I couldnt import my previous decks from my external sd card. 
com.ichi2.anki#171322:	   The app is amazing. The only issue I have is it seems like it can't import anything other than .apkg format files. I need to import .anki files often and its kind of annoying having to run them through my desktop before they can be used on my smartphone 
com.ichi2.anki#171344:	  It is the best application for educational purposes. However, i encountered one problem, my questions involving images dont get synchronised . I have anki on my laptop and cellphone. The images are only in my cellphone and in laptop it opens without images. How can i fix this ? 
com.ichi2.anki#171347:	   This is by far the best educational app I've come across. The functionality is superb n the customisation options are simply incredible. Along with the desktop version you can simply learn anything you want to. Only problem I've been facing is that everytime I try to edit a card on my phone, the app goes a little crazy n does not save my changes. 
com.ichi2.anki#171360:	   Every time I try to sync after the update I get an error. Please fix, thank you! Other than that great app I use it all the time and I've been successful with it. 
com.ichi2.anki#171364:	   It has everything what I need. I've been using it for more than 2 years and except one crisis (crashed and I lost progress for several months) everything was good. It definitely worths for the 5* rating! 
com.ichi2.anki#171368:	   I used to be able to fix import mistakes quickly with the swap function (not create a reverse card) 
com.ichi2.anki#171375:	   March 2015 update just broke cloze deletion, it shows the cloze twice, once with [...] and once with the answer already there now. Now I can't study that deck until it's fixed... 
com.ichi2.anki#171380:	   I used this application for about two years and it was fantastic. However, now that I have changed my phone, the application will not download correctly. I'm unable to download and of the decks that I have saved to my account. 
com.ichi2.anki#171385:	   Fixed problem. Everything works great again. Cheers! Easy five stars. 
com.ichi2.anki#171394:	   After I agreed to the new terms and conditions on the pc, the app on the phone stopped working. All I get is a loading screen with a message that a report is being sent to the developers. I tried reinstalling the app, but it hasn't helped. I'd appreciate any kind of help since this is one of the most apps on my phone. 
com.ichi2.anki#171395:	   Thanks for making this. Had a little problem at first. I think because the syncing is a bit slow, but it would claim to be all synced up but would not match what was on my computer at home. (I do have a lot of decks). Works great now. No problem at all 
com.ichi2.anki#171404:	  Cannot login to read terms 
com.ichi2.anki#171415:	   The synchronization is throwing an error every time I'm trying to synchronize my flash cards. Another limitation is the inability to add prerecorded audios. 
